Pablo;pabl.0o;帕布罗[pà bù luō],帕布羅[pà bù luō]
svingpordo;pord.sving0o;弹簧门[tán huáng mén],彈簧門[tán huáng mén]
ŝovpordo;pord.sxov0o;滑門[huá mén],滑门[huá mén]
ŝovpordo;pord.sxov0o;推拉門[tuī lā mén],推拉门[tuī lā mén]
ŝovpordo;pord.sxov0o;拉門[lā mén],拉门[lā mén]
poreo;pore.0o;韭[jiǔ]
poreo;pore.0o;葱韭[cōng jiǔ],蔥韭[cōng jiǔ]
poreo;pore.0o;青蒜[qīng suàn]
poriĝo;porigx.0o;穈[mén]
poriĝo;porigx.0o;麮[qù]
porkaĵo;pork.0ajxo.KUI;猪肉[zhū ròu],豬肉[zhū ròu]
porkaĵo;pork.0ajxo.KUI;大肉[dà ròu]
porkejo;pork.0ejo;猪舍[zhū shè],豬舍[zhū shè]
porkejo;pork.0ejo;圂[hùn]
porkejo;pork.0ejo;圊[qīng]
porkejo;pork.0ejo;苙[lì]
porkido;pork.0ido;仔猪[zǐ zhū],仔豬[zǐ zhū]
porkido;pork.0ido;豚[tún]
porkino;pork.0ino;母猪[mǔ zhū],母豬[mǔ zhū]
porko;pork.0o;猪[zhū],豬[zhū]
porko;pork.0o;豨[xī]
virporko;pork.vir0o;公猪[gōng zhū],公豬[gōng zhū]
virporko;pork.vir0o;豭[jiā]
pornografiaĵo;pornografi.0ajxo;春宫画[chūn gōng huà],春宮畫[chūn gōng huà]
pornografiaĵo;pornografi.0ajxo;春画[chūn huà],春畫[chūn huà]
pornografiaĵo;pornografi.0ajxo;色情图片[sè qíng tú piàn],色情圖片[sè qíng tú piàn]
pornografiaĵo;pornografi.0ajxo;黃色書刊[huáng sè shū kān],黄色书刊[huáng sè shū kān]
pornografiaĵo;pornografi.0ajxo;色情文学[sè qíng wén xué],色情文學[sè qíng wén xué]
pornografiaĵo;pornografi.0ajxo;色情物品[sè qíng wù pǐn]
pornografio;pornografi.0o;春画[chūn huà],春畫[chūn huà]
pornografio;pornografi.0o;黃色書刊[huáng sè shū kān],黄色书刊[huáng sè shū kān]
pornografio;pornografi.0o;春宫画[chūn gōng huà],春宮畫[chūn gōng huà]
pornografio;pornografi.0o;色情图片[sè qíng tú piàn],色情圖片[sè qíng tú piàn]
poroza;poroz.0a;能渗透[néng shèn tòu],能滲透[néng shèn tòu]
portaĵo;port.0ajxo;包袱[bāo fu]
portaĵo;port.0ajxo;負荷[fù hè],负荷[fù hè]
portaĵo;port.0ajxo;荷[hè]
portaĵo;port.0ajxo;負擔[fù dān],负担[fù dān]
porti;port.0i;佩带[pèi dài],佩帶[pèi dài]
porti;port.0i;佗[tuó]
porti;port.0i;佩戴[pèi dài]
porti;port.0i;儋[dān]
porti;port.0i;孳[zī]
porti;port.0i;慉[xù]
porti;port.0i;承[chéng]
porti;port.0i;承受[chéng shòu]
portiĝi;port.0igxi;飄動[piāo dòng],飘动[piāo dòng]
portiĝi;port.0igxi;颻[yáo],飖[yáo]
portiĝi;port.0igxi;荡漾[dàng yàng],蕩漾[dàng yàng]
portilo;port.0ilo;担架[dān jià],擔架[dān jià]
portilo;port.0ilo;轎[jiào],轿[jiào]
portilo;port.0ilo;轎子[jiào zi],轿子[jiào zi]
portilo;port.0ilo;步輦[bù niǎn],步辇[bù niǎn]
portisto;port.0isto;挑夫[tiāo fū]
portisto;port.0isto;搬运工[bān yùn gōng],搬運工[bān yùn gōng]
portisto;port.0isto;脚夫[jiǎo fū],腳夫[jiǎo fū]
aertransporto;port.aertrans0o;空运[kōng yùn],空運[kōng yùn]
alporti;port.al0i;带来[dài lái],帶來[dài lái]
alporti;port.al0i;拿來[ná lái],拿来[ná lái]
disporti;port.dis0i;发行[fā xíng],發行[fā xíng]
disporti;port.dis0i;俵[biǎo]
disporti;port.dis0i;分配[fēn pèi]
disporti;port.dis0i;經銷[jīng xiāo],经销[jīng xiāo]
elporti;port.el0i;孳[zī]
elporti;port.el0i.toleri;忍[rěn]
elporti;port.el0i.toleri;禁[jīn]
elporti;port.el0i.toleri;忍受[rěn shòu]
elporti;port.el0i.toleri;承受[chéng shòu]
forporti;port.for0i;带走[dài zǒu],帶走[dài zǒu]
kunporti;port.kun0i.kun_si;携[xié],攜[xié]
kunporti;port.kun0i.kun_si;带来[dài lái],帶來[dài lái]
kunporti;port.kun0i.kun_si;扡[chǐ]
kunporti;port.kun0i.kun_si;捎來[shāo lái],捎来[shāo lái]
kunporti;port.kun0i.kun_si;挈带[qiè dài],挈帶[qiè dài]
kunporti;port.kun0i.kunigi;搜罗[sōu luó],搜羅[sōu luó]
kunporti;port.kun0i.kunigi;彙總[huì zǒng],汇总[huì zǒng]
kunporti;port.kun0i.kunigi;配頁[pèi yè],配页[pèi yè]
leterportisto;port.leter0isto;投递员[tóu dì yuán],投遞員[tóu dì yuán]
leterportisto;port.leter0isto;邮务士[yóu wù shì],郵務士[yóu wù shì]
leterportisto;port.leter0isto;邮递员[yóu dì yuán],郵遞員[yóu dì yuán]
reporti;port.re0i;送回[sòng huí]
reporti;port.re0i;带回家[dài huí jiā],帶回家[dài huí jiā]
subporti;port.sub0i;撐[chēng],撑[chēng]
subporti;port.sub0i;支持[zhī chí]
subporti;port.sub0i;支承[zhī chéng]
subporti;port.sub0i;搘[zhī]
subporti;port.sub0i;牮[jiàn]
transporti;port.trans0i;載貨[zài huò],载货[zài huò]
transporti;port.trans0i;搬运[bān yùn],搬運[bān yùn]
transporti;port.trans0i;运送[yùn sòng],運送[yùn sòng]
transporti;port.trans0i;摙[liǎn]
transporti;port.trans0i;运输[yùn shū],運輸[yùn shū]
transporti;port.trans0i;运[yùn],運[yùn]
transportilo;port.trans0ilo;代步[dài bù]
transportilo;port.trans0ilo;交通工具[jiāo tōng gōng jù]
portalo;portal.0o;大門口[dà mén kǒu],大门口[dà mén kǒu]
portalo;portal.0o;正門[zhèng mén],正门[zhèng mén]
portalo;portal.0o;門戶網站[mén hù wǎng zhàn],门户网站[mén hù wǎng zhàn]
Portmoresbo;portmoresb.0o;莫尔兹比港[Mò ěr zī bǐ gǎng],莫爾茲比港[Mò ěr zī bǐ gǎng]
Portoprinco;portoprinc.0o;太子港[Tài zǐ gǎng]
Portoriko;portorik.0o;波多黎各[Bō duō Lí gè]
Portospeno;portospen.0o;西班牙港[Xī bān yá gǎng]
portreti;portre.0i;写照[xiě zhào],寫照[xiě zhào]
portreto;portre.0o;肖像[xiào xiàng]
portreto;portre.0o;画像[huà xiàng],畫像[huà xiàng]
portreto;portre.0o;真容[zhēn róng]
portreto;portre.0o;人像[rén xiàng]
portreto;portre.0o;写照[xiě zhào],寫照[xiě zhào]
portreto;portre.0o;自画像[zì huà xiàng],自畫像[zì huà xiàng]
memportreto;portre.mem0o;自拍[zì pāi]
memportreto;portre.mem0o;自拍照[zì pāi zhào]
portugala;portugal.0a;葡萄語[Pú táo yǔ],葡萄语[Pú táo yǔ]
portugala;portugal.0a;佛朗机[Fó lǎng jī],佛朗機[Fó lǎng jī]
Portugalujo;portugal.P0ujo.GEOG;葡萄牙[Pú táo yá]
portugalo;;葡萄牙人[Pú táo yá rén]
Portugalio;portugali.P0o;葡萄牙[Pú táo yá]
portulako;;馬齒莧[mǎ chǐ xiàn],马齿苋[mǎ chǐ xiàn]
Portvilao;portvila.0o;維拉港[Wéi lā Gǎng],维拉港[Wéi lā Gǎng]
poseda;posed.0a;物主限定詞[wù zhǔ xiàn dìng cí],物主限定词[wù zhǔ xiàn dìng cí]
poseda;posed.0a;所有格[suǒ yǒu gé]
posedaĵo;posed.0ajxo;所有权[suǒ yǒu quán],所有權[suǒ yǒu quán]
posedaĵo;posed.0ajxo;属地[shǔ dì],屬地[shǔ dì]
posedaĵo;posed.0ajxo;所有物[suǒ yǒu wù]
posedaĵo;posed.0ajxo;財產[cái chǎn],财产[cái chǎn]
posedaĵo;posed.0ajxo;佔有物[zhàn yǒu wù],占有物[zhàn yǒu wù]
posedanto;posed.0anto;物主[wù zhǔ]
posedanto;posed.0anto;所有主[suǒ yǒu zhǔ]
posedanto;posed.0anto;主[zhǔ]
posedanto;posed.0anto;业主[yè zhǔ],業主[yè zhǔ]
posedanto;posed.0anto;所有者[suǒ yǒu zhě]
posedanto;posed.0anto;佔有人[zhàn yǒu rén],占有人[zhàn yǒu rén]
posedanto;posed.0anto;拥有者[yōng yǒu zhě],擁有者[yōng yǒu zhě]
posedanto;posed.0anto;债券持有人[zhài quàn chí yǒu rén],債券持有人[zhài quàn chí yǒu rén]
posedi;posed.0i;有着[yǒu zhe],有著[yǒu zhe]
posedi;posed.0i;具[jù]
posedi;posed.0i;具有[jù yǒu]
posedi;posed.0i;持有[chí yǒu]
posedi;posed.0i;具備[jù bèi],具备[jù bèi]
posedi;posed.0i;拥有[yōng yǒu],擁有[yōng yǒu]
posedigi;posed.0igi;移交[yí jiāo]
posedo;posed.0o;所有权[suǒ yǒu quán],所有權[suǒ yǒu quán]
posedo;posed.0o;所有物[suǒ yǒu wù]
posedo;posed.0o;財產[cái chǎn],财产[cái chǎn]
ekposedi;posed.ek0i;占[zhàn]
ekposedi;posed.ek0i;据[jù],據[jù]
ekposedi;posed.ek0i;到手[dào shǒu]
ekposedi;posed.ek0i;佔據[zhàn jù],占据[zhàn jù]
senposedigi;posed.sen0igi;征用[zhēng yòng]
senposedigi;posed.sen0igi;征收[zhēng shōu],徵收[zhēng shōu]
posesivo;posesi.0o;物主代詞[wù zhǔ dài cí],物主代词[wù zhǔ dài cí]
post;post.0;后[hòu],後[hòu]
post;post.0;后面[hòu mian],後面[hòu mian]
post;post.0;后面[hòu miàn],後面[hòu miàn]
post;post.0;后头[hòu tou],後頭[hòu tou]
post;post.0;背后[bèi hòu],背後[bèi hòu]
post;post.0;以后[yǐ hòu],以後[yǐ hòu]
post;post.0;次后[cì hòu],次後[cì hòu]
post;post.0;而后[ér hòu],而後[ér hòu]
posta;post.0a.loke;随后[suí hòu],隨後[suí hòu]
postaĵo;post.0ajxo.KOMUNE;后方[hòu fāng],後方[hòu fāng]
postaĵo;post.0ajxo.KOMUNE;背[bèi]
postaĵo;post.0ajxo.KOMUNE;在背上[zài bèi shàng]
postaĵo;post.0ajxo.KOMUNE;在背后[zài bèi hòu],在背後[zài bèi hòu]
postaĵo;post.0ajxo.KOMUNE;在背面[zài bèi miàn]
postaĵo;post.0ajxo.KOMUNE;椅子靠背[yǐ zi kào bèi]
postaĵo;post.0ajxo.KOMUNE;顛倒[diān dǎo],颠倒[diān dǎo]
postaĵo;post.0ajxo.KOMUNE;氂[máo]
postaĵo;post.0ajxo.KOMUNE;尾[wěi]
postaĵo;post.0ajxo.KOMUNE;对决[duì jué],對決[duì jué]
postaĵo;post.0ajxo.KOMUNE;腚[dìng]
postaĵo;post.0ajxo.KOMUNE;尾巴[wěi ba]
postaĵo;post.0ajxo.pugo;屁股[pì gu]
postaĵo;post.0ajxo.pugo;腚[dìng]
postanto;post.0anto;接班人[jiē bān rén]
postanto;post.0anto;后任[hòu rèn],後任[hòu rèn]
postanto;post.0anto;接棒人[jiē bàng rén]
postanto;post.0anto;繼任者[jì rèn zhě],继任者[jì rèn zhě]
postanto;post.0anto;繼任[jì rèn],继任[jì rèn]
poste;post.0e;繼後[jì hòu],继后[jì hòu]
poste;post.0e;以后[yǐ hòu],以後[yǐ hòu]
poste;post.0e;嗣后[sì hòu],嗣後[sì hòu]
poste;post.0e;后[hòu],後[hòu]
posteniĝi;post.0enigxi;迴避[huí bì]
posteniĝi;post.0enigxi;撤退[chè tuì]
posteulo;post.0eulo;后[hòu],後[hòu]
posteulo;post.0eulo;传人[chuán rén],傳人[chuán rén]
posteulo;post.0eulo;晜[kūn]
posteulo;post.0eulo;子孙[zǐ sūn],子孫[zǐ sūn]
posteulo;post.0eulo;后代[hòu dài],後代[hòu dài]
posteulo;post.0eulo;后裔[hòu yì],後裔[hòu yì]
posteume;post.0eume.KOMUNE;过后[guò hòu],過後[guò hòu]
posti;post.0i;跟随[gēn suí],跟隨[gēn suí]
posti;post.0i;后续[hòu xù],後續[hòu xù]
posti;post.0i;接替[jiē tì]
posti;post.0i;遹[yù]
postiĝi;post.0igxi;落后[luò hòu],落後[luò hòu]
post kiam;post.0kiam;以后[yǐ hòu],以後[yǐ hòu]
post kiam;post.0kiam;后来[hòu lái],後來[hòu lái]
post kiam;post.0kiam;次后[cì hòu],次後[cì hòu]
posto;post.0o.loke;后方[hòu fāng],後方[hòu fāng]
posto;post.0o.loke;背[bèi]
posto;post.0o.loke;背部[bèi bù]
posto;post.0o.loke;在背上[zài bèi shàng]
posto;post.0o.loke;在背后[zài bèi hòu],在背後[zài bèi hòu]
posto;post.0o.loke;在背面[zài bèi miàn]
posto;post.0o.loke;椅子靠背[yǐ zi kào bèi]
posto;post.0o.loke;顛倒[diān dǎo],颠倒[diān dǎo]
postamento;postam.0o;底座[dǐ zuò]
postamento;postam.0o;基业[jī yè],基業[jī yè]
posteno;posten.0o;职位[zhí wèi],職位[zhí wèi]
posteno;posten.0o;岗位[gǎng wèi],崗位[gǎng wèi]
enpostenigi;posten.en0igi;交卸[jiāo xiè]
senpostenigi;posten.sen0igi;罢黜[bà chù],罷黜[bà chù]
postiliono;postilion.0o;左馬御者[zuǒ mǎ yù zhě],左马御者[zuǒ mǎ yù zhě]
postiliono;postilion.0o;平頂女帽[píng dǐng nǚ mào],平顶女帽[píng dǐng nǚ mào]
postpozicio;postpozici.0o;后置词[hòu zhì cí],後置詞[hòu zhì cí]
postpozicio;postpozici.0o;后置[hòu zhì],後置[hòu zhì]
postulado;postul.0ado.EKON;需求[xū qiú]
postulema;postul.0ema;恣慾[zì yù],恣欲[zì yù]
postulema;postul.0ema;要求高[yāo qiú gāo]
postulema;postul.0ema;难以取悦[nán yǐ qǔ yuè],難以取悅[nán yǐ qǔ yuè]
postulema;postul.0ema;高标准要求的[gāo biāo zhǔn yào qiú de],高標準要求的[gāo biāo zhǔn yào qiú de]
postulema;postul.0ema;高档次的[gāo dàng cì de],高檔次的[gāo dàng cì de]
postulema;postul.0ema;高要求[gāo yāo qiú]
postulema;postul.0ema;高要求的[gāo yāo qiú de]
postuli;postul.0i;索取[suǒ qǔ]
postuli;postul.0i;要求[yāo qiú]
postuli;postul.0i;索要[suǒ yào]
postuli;postul.0i;要[yāo]
postuli;postul.0i;要有[yào yǒu]
postuli;postul.0i;索求[suǒ qiú]
postuli;postul.0i;討取[tǎo qǔ],讨取[tǎo qǔ]
postulo;postul.0o;需求[xū qiú]
postulo;postul.0o.nepra;必要条件[bì yào tiáo jiàn],必要條件[bì yào tiáo jiàn]
depostuli;postul.de0i;要求[yāo qiú]
depostuli;postul.de0i;索取[suǒ qǔ]
poŝa;posx.0a;袖珍[xiù zhēn]
poŝo;posx.0o;口袋[kǒu dài]
poŝo;posx.0o;腰包[yāo bāo]
poŝo;posx.0o;袋[dài]
poŝo;posx.0o;衣袋[yī dài]
poŝo;posx.0o;褚[zhǔ]
elpoŝigi;posx.el0igi;掏出[tāo chū]
enpoŝigi;posx.en0igi;揣[chuāi]
ventropoŝo;posx.ventro0o;育儿袋[yù ér dài],育兒袋[yù ér dài]
poŝta;posxt.0a;邮政[yóu zhèng],郵政[yóu zhèng]
poŝta;posxt.0a;邮[yóu],郵[yóu]
poŝtaĵo;posxt.0ajxo;邮件[yóu jiàn],郵件[yóu jiàn]
poŝtejo;posxt.0ejo;邮局[yóu jú],郵局[yóu jú]
poŝtejo;posxt.0ejo;邮政局[yóu zhèng jú],郵政局[yóu zhèng jú]
poŝtilo;posxt.0ilo;邮箱客户端[yóu xiāng kè hù duān],郵箱客戶端[yóu xiāng kè hù duān]
poŝtilo;posxt.0ilo;电子邮件软件[diàn zǐ yóu jiàn ruǎn jiàn],電子郵件軟件[diàn zǐ yóu jiàn ruǎn jiàn]
poŝtisto;posxt.0isto;邮递员[yóu dì yuán],郵遞員[yóu dì yuán]
poŝtisto;posxt.0isto;邮务士[yóu wù shì],郵務士[yóu wù shì]
poŝtisto;posxt.0isto;邮局职员[yóu jú zhí yuán],郵局職員[yóu jú zhí yuán]
poŝtisto;posxt.0isto;投递员[tóu dì yuán],投遞員[tóu dì yuán]
poŝto;posxt.0o;邮政[yóu zhèng],郵政[yóu zhèng]
poŝtrestante;posxt.0restante;存局侯領郵件[cún jú hóu lǐng yóu jiàn],存局侯领邮件[cún jú hóu lǐng yóu jiàn]
aerpoŝta;posxt.aer0a;航邮[háng yóu],航郵[háng yóu]
aerpoŝta;posxt.aer0a;空邮[kōng yóu],空郵[kōng yóu]
aerpoŝta;posxt.aer0a;航空邮递[háng kōng yóu dì],航空郵遞[háng kōng yóu dì]
enpoŝtigi;posxt.en0igi;邮[yóu],郵[yóu]
enpoŝtigi;posxt.en0igi;投寄[tóu jì]
enpoŝtigi;posxt.en0igi;邮寄[yóu jì],郵寄[yóu jì]
enpoŝtigi;posxt.en0igi;寄[jì]
enpoŝtigi;posxt.en0igi;寄出[jì chū]
potfarado;pot.0farado;陶器[táo qì]
potfaristo;pot.0faristo;陶工[táo gōng]
potfaristo;pot.0faristo;瓬[fǎng]
potfaristo;pot.0faristo;制陶工人[zhì táo gōng rén],製陶工人[zhì táo gōng rén]
potfaristo;pot.0faristo;陶匠[táo jiàng]
potfaristo;pot.0faristo;陶艺家[táo yì jiā],陶藝家[táo yì jiā]
potfarado;;陶[táo]
poto;pot.0o;罐子[guàn zi]
poto;pot.0o;罐[guàn]
poto;pot.0o;盆[pén]
poto;pot.0o;盬[gǔ]
florpoto;pot.flor0o;花盆[huā pén]
florpoto;pot.flor0o;盆[pén]
kuirpoto;pot.kuir0o;鍋子[guō zi],锅子[guō zi]
kuirpoto;pot.kuir0o;鐵鍋[tiě guō],铁锅[tiě guō]
mikspotaĵo;pot.miks0ajxo;杂烩[zá huì],雜燴[zá huì]
mikspoto;pot.miks0ajxo.FIG;大杂烩[dà zá huì],大雜燴[dà zá huì]
terpoto;pot.ter0o;陶器[táo qì]
unupotaĵo;pot.unu0ajxo;烩饭[huì fàn],燴飯[huì fàn]
potaso;potas.0o;碳酸鉀[tàn suān jiǎ],碳酸钾[tàn suān jiǎ]
kaŭstika potaso;;苛性鉀[kē xìng jiǎ],苛性钾[kē xìng jiǎ]
potenca;potenc.0a;強勢[qiáng shì],强势[qiáng shì]
potenca;potenc.0a;騤[kuí]
potenca;potenc.0a;冲[chòng],衝[chòng]
potenca;potenc.0a;伾[pī]
potenci;potenc.0i.POL;能够自我控制[néng gòu zì wǒ kòng zhì],能夠自我控制[néng gòu zì wǒ kòng zhì]
potenciganto;potenc.0iganto;指数[zhǐ shù],指數[zhǐ shù]
potencigato;potenc.0igato;底[dǐ]
potenco;potenc.0o.JUR_POL;势[shì],勢[shì]
potenco;potenc.0o.JUR_POL;強權[qiáng quán],强权[qiáng quán]
potenco;potenc.0o.JUR_POL;权力[quán lì],權力[quán lì]
nulpotenca;potenc.nul0a;冪零元[mì líng yuán],幂零元[mì líng yuán]
potenciala diferenco;potenc1.0adiferenco;电压[diàn yā],電壓[diàn yā]
potencialo;potenc1.0o.ELE;潛力[qián lì],潜力[qián lì]
potencialo;potenc1.0o.ELE;潛能[qián néng],潜能[qián néng]
potencialo;potenc1.0o.ELE;电位[diàn wèi],電位[diàn wèi]
potentilo;potentil.0o;蕨麻[jué má]
poŭpo;pouxp.0o;舳[zhú]
poŭpo;pouxp.0o;艄[shāo]
poŭpo;pouxp.0o;船艄[chuán shāo]
pova;pov.0a;有才干[yǒu cái gàn],有才幹[yǒu cái gàn]
pova;pov.0a;了得[liǎo de]
pova;pov.0a;得力[dé lì]
pova;pov.0a;得劲儿[dé jìn r],得勁兒[dé jìn r]
pova;pov.0a;有能力[yǒu néng lì]
pova;pov.0a;有道[yǒu dào]
pova;pov.0a;能事[néng shì]
povo;pov.0o;力[lì]
povo;pov.0o;能力[néng lì]
povumo;;力道[lì dào]
ĉiopova;pov.cxio0a.KOMUNE;全能[quán néng]
ĉiopova;pov.cxio0a.KOMUNE;万能[wàn néng],萬能[wàn néng]
ĉiopova;pov.cxio0a.KOMUNE;无所不能[wú suǒ bù néng],無所不能[wú suǒ bù néng]
daŭripovo;pov.dauxri0o;可持續[kě chí xù],可持续[kě chí xù]
daŭripovo;pov.dauxri0o;可持續發展[kě chí xù fā zhǎn],可持续发展[kě chí xù fā zhǎn]
daŭripovo;pov.dauxri0o;能耐[néng nài]
nepovebla;pov.ne0ebla.KOMUNE;不会发生[bù huì fā shēng],不會發生[bù huì fā shēng]
nepovebla;pov.ne0ebla.KOMUNE;无法可想[wú fǎ kě xiǎng],無法可想[wú fǎ kě xiǎng]
nepovebla;pov.ne0ebla.KOMUNE;不可想象[bù kě xiǎng xiàng]
nepovebla;pov.ne0ebla.KOMUNE;不可能[bù kě néng]
nepovebla;pov.ne0ebla.KOMUNE;不行[bù xíng]
senpova;pov.sen0a;无能为力[wú néng wéi lì],無能為力[wú néng wéi lì]
senpova;pov.sen0a;无权[wú quán],無權[wú quán]
senpova;pov.sen0a;不能勝任[bù néng shēng rèn],不能胜任[bù néng shēng rèn]
senpova;pov.sen0a;无力[wú lì],無力[wú lì]
senpova;pov.sen0a;无动力[wú dòng lì],無動力[wú dòng lì]
povrulo;povr.0ulo;无用的人[wú yòng de rén],無用的人[wú yòng de rén]
povrulo;povr.0ulo;貧民[pín mín],贫民[pín mín]
pozi;poz.0i;作态[zuò tài],作態[zuò tài]
pozo;poz.0o;姿势[zī shì],姿勢[zī shì]
pozo;poz.0o;体位[tǐ wèi],體位[tǐ wèi]
pozo;poz.0o;姿态[zī tài],姿態[zī tài]
pozo;poz.0o;体态[tǐ tài],體態[tǐ tài]
pozicii;pozici.0i;表态[biǎo tài],表態[biǎo tài]
pozicio;pozici.0o;地位[dì wèi]
pozicio;pozici.0o;立场[lì chǎng],立場[lì chǎng]
pozicio;pozici.0o;主张[zhǔ zhāng],主張[zhǔ zhāng]
pozicio;pozici.0o;位置[wèi zhi]
pozicio;pozici.0o;职位[zhí wèi],職位[zhí wèi]
pozicio;pozici.0o;区位[qū wèi],區位[qū wèi]
pozicio;pozici.0o;事权[shì quán],事權[shì quán]
pozicio;pozici.0o;位[wèi]
pozicio;pozici.0o;順位[shùn wèi],顺位[shùn wèi]
Pozidono;pozidon.0o;波塞冬[bō sāi dōng]
Pozidono;pozidon.0o;海神[hǎi shén]
pozitiva;poziti.0a;正面[zhèng miàn]
pozitiva;poziti.0a;积极[jī jí],積極[jī jí]
pozitivismo;poziti.0ismo;实证主义[shí zhèng zhǔ yì],實證主義[shí zhèng zhǔ yì]
pozitivo;poziti.0o.FOT;形容詞原形[xíng róng cí yuán xíng],形容词原形[xíng róng cí yuán xíng]
pozitivo;poziti.0o.FOT;幻灯影片[huàn dēng yǐng piān],幻燈影片[huàn dēng yǐng piān]
pozitivo;poziti.0o.FOT;透明正片[tòu míng zhèng piàn]
malpozitiva;poziti.mal0a;否定[fǒu dìng]
malpozitiva;poziti.mal0a;負面[fù miàn],负面[fù miàn]
malpozitiva;poziti.mal0a;消极性[xiāo jí xìng],消極性[xiāo jí xìng]
malpozitiva;poziti.mal0a;消极[xiāo jí],消極[xiāo jí]
malpozitiva;poziti.mal0a;負[fù],负[fù]
malpozitiva;poziti.mal0a;負電[fù diàn],负电[fù diàn]
pozitrono;pozitr.0o.FIZ;阳电子[yáng diàn zǐ],陽電子[yáng diàn zǐ]
pra-;pra.0.HIS;原始[yuán shǐ]
praa;pra.0a;远古[yuǎn gǔ],遠古[yuǎn gǔ]
praa;pra.0a;原始[yuán shǐ]
praulo;pra.0ulo;祖宗[zǔ zōng]
praulo;pra.0ulo;祖輩[zǔ bèi],祖辈[zǔ bèi]
praulo;pra.0ulo;宗[zōng]
praulo;pra.0ulo;祖[zǔ]
praulo;pra.0ulo;祖先[zǔ xiān]
praulo;pra.0ulo;先人[xiān rén]
praulo;pra.0ulo;先[xiān]
Prago;prag.0o;布拉格[Bù lā gé]
pragmata;pragma.0a;实用[shí yòng],實用[shí yòng]
pragmata;pragma.0a;实际[shí jì],實際[shí jì]
pragmata;pragma.0a;实用性[shí yòng xìng],實用性[shí yòng xìng]
pragmata;pragma.0a;务实[wù shí],務實[wù shí]
pragmatismo;pragma.0ismo;实用主义[shí yòng zhǔ yì],實用主義[shí yòng zhǔ yì]
prajmo;;雷管[léi guǎn]
praktika;prakti.0a;实用性[shí yòng xìng],實用性[shí yòng xìng]
praktika;prakti.0a;实用[shí yòng],實用[shí yòng]
praktika;prakti.0a;从实际的角度看[cōng shí jì de jiǎo dù kàn],從實際的角度看[cōng shí jì de jiǎo dù kàn]
praktika;prakti.0a;在实践中[zài shí jiàn zhōng],在實踐中[zài shí jiàn zhōng]
praktika;prakti.0a;实际应用[shí jì yìng yòng],實際應用[shí jì yìng yòng]
praktika;prakti.0a;便宜[biàn yí]
praktika;prakti.0a;事实上[shì shí shàng],事實上[shì shí shàng]
praktika;prakti.0a;实用主义地[shí yòng zhǔ yì de],實用主義地[shí yòng zhǔ yì de]
praktika;prakti.0a;实用地[shí yòng de],實用地[shí yòng de]
praktika;prakti.0a;本質上[běn zhì shàng],本质上[běn zhì shàng]
praktika;prakti.0a;现实[xiàn shí],現實[xiàn shí]
praktikema;prakti.0ema;务实[wù shí],務實[wù shí]
praktiki;prakti.0i;实践[shí jiàn],實踐[shí jiàn]
praktiki;prakti.0i;实行[shí xíng],實行[shí xíng]
praktiki;prakti.0i;付諸實施[fù zhū shí shī],付诸实施[fù zhū shí shī]
praktiki;prakti.0i;施行[shī xíng]
praktiki;prakti.0i;執行[zhí xíng],执行[zhí xíng]
praktiki;prakti.0i;践行[jiàn xíng],踐行[jiàn xíng]
praktiki;prakti.0i;行医[xíng yī],行醫[xíng yī]
praktiki;prakti.0i;謨[mó],谟[mó]
praktiko;prakti.0o;实际[shí jì],實際[shí jì]
praktiko;prakti.0o;实践[shí jiàn],實踐[shí jiàn]
praktiko;prakti.0o;实证[shí zhèng],實証[shí zhèng]
pralino;pralin.0o.cxokolada;坚果仁巧克力[jiān guǒ rén qiǎo kè lì],堅果仁巧克力[jiān guǒ rén qiǎo kè lì]
pralino;pralin.0o.cxokolada;果仁糖[guǒ rén táng]
pramo;pram.0o;輪渡[lún dù],轮渡[lún dù]
pramo;pram.0o;渡輪[dù lún],渡轮[dù lún]
pramo;pram.0o;渡船[dù chuán]
pramo;pram.0o;摆渡船[bǎi dù chuán],擺渡船[bǎi dù chuán]
pramo;pram.0o;杭[háng]
pramo;pram.0o;渡輪船[dù lún chuán],渡轮船[dù lún chuán]
kosmopramo;pram.kosmo0o;航天飛機[háng tiān fēi jī],航天飞机[háng tiān fēi jī]
kosmopramo;pram.kosmo0o;太空穿梭机[tài kōng chuān suō jī],太空穿梭機[tài kōng chuān suō jī]
kosmopramo;pram.kosmo0o;太空飛機[tài kōng fēi jī],太空飞机[tài kōng fēi jī]
prava;prav.0a;属实[shǔ shí],屬實[shǔ shí]
prava;prav.0a;正确[zhèng què],正確[zhèng què]
prava;prav.0a;实[shí],實[shí]
prava;prav.0a;实在[shí zài],實在[shí zài]
prava;prav.0a;确实[què shí],確實[què shí]
pravi;prav.0i;有道理[yǒu dào lǐ]
pravigi;prav.0igi;不辜負[bù gū fù],不辜负[bù gū fù]
pravigi;prav.0igi;表明自己是正确[biǎo míng zì jǐ shì zhèng què],表明自己是正確[biǎo míng zì jǐ shì zhèng què]
pravigi;prav.0igi;声辩[shēng biàn],聲辯[shēng biàn]
prazeodimo;prazeodim.0o;鐠[pǔ],镨[pǔ]
precedenco;preced.0o;先例[xiān lì]
precedenco;preced.0o;前例[qián lì]
precedenco;preced.0o;往例[wǎng lì]
precedenco;preced.0o;稿子[gǎo zi]
precedenco;preced.0o;案例[àn lì]
