fabo;fab.0o.BOT;蚕豆[cán dòu]
figuri;figur.0i.bildigi;結成[jié chéng]
figuri;figur.0i.bildigi;构[gòu]
figuri;figur.0i.bildigi;构成[gòu chéng]
figuro;figur.0o;体形[tǐ xíng]
figuro;figur.0o;角色[jué sè]
figuro;figur.0o;身材[shēn cái]
figuro;figur.0o;体型[tǐ xíng]
figuro;figur.0o;形体[xíng tǐ]
figuro;figur.0o;形状[xíng zhuàng]
vaksfiguro;figur.vaks0o;蜡像[là xiàng]
Fiĝio;figxi.0o.sxtato;斐济[fěi jì]
Fiĝio;figxi.0o.sxtato;斐济群岛[fěi jì qún dǎo]
fiki;fik.0i;肏[cào]
fikcia;;虚构[xū gòu]
fikcio;;子虚[zǐ xū]
fikcio;;子虚乌有[zǐ xū wū yǒu]
fikcio;;虚构小说[xū gòu xiǎo shuō]
fikcio;;杜撰[dù zhuàn]
sciencfikcio;fikci.scienc0o;科幻[kē huàn]
fiksa;fiks.0a;牢牢[láo láo]
fiksa;fiks.0a;稳固地[wěn gù de]
fiksa;fiks.0a;束住[shù zhù]
fiksa;fiks.0a;不能移动[bù néng yí dòng]
fikseco;fiks.0eco;不变性[bù biàn xìng]
fikseco;fiks.0eco;不变[bù biàn]
fikseco;fiks.0eco;无弹力[wú dàn lì]
fikseco;fiks.0eco;坚硬性[jiān yìng xìng]
fiksi;fiks.0i.rigardon;盯[dīng]
fiksi;fiks.0i.flagon;固定[gù dìng]
fiksilo;fiks.0ilo.FOT;定色料[dìng sè liào]
fiksilo;fiks.0ilo.FOT;定色剂[dìng sè jì]
antaŭfiksi;fiks.antaux0i;先定[xiān dìng]
fiktiva;;虚构[xū gòu]
bofilino;fil.bo0ino;儿媳妇[ér xí fu]
bofilino;fil.bo0ino;媳妇儿[xí fù r]
bofilino;fil.bo0ino;儿媳[ér xí]
bofilino;fil.bo0ino;媳妇[xí fù]
bofilino;fil.bo0ino;媳[xí]
bofilo;fil.bo0o;女婿[nǚ xu]
bofilo;fil.bo0o;婿[xù]
duonfilino;fil.duon0ino;繼女[jì nǚ]
adoptita filino;;义女[yì nǚ]
filantropo;filant1.0o;慈善家[cí shàn jiā]
filantropo;filant1.0o;博愛主義者[bó ài zhǔ yì zhě]
filantropo;filant1.0o;博愛的人[bó ài de rén]
filatelisto;filate.0isto;集邮者[jí yóu zhě]
filateliisto;filate.0isto;集邮者[jí yóu zhě]
filatelo;filate.0o;集邮[jí yóu]
filatelio;filate.0o;集邮[jí yóu]
filharmonio;filhar.0o;愛樂樂團[ài lè lè tuán]
filharmonio;filhar.0o;愛樂管弦樂團[ài lè guǎn xián lè tuán]
filio;fili.0o;分公司[fēn gōng sī]
filio;fili.0o;分店业务[fēn diàn yè wù]
filio;fili.0o;分店[fēn diàn]
filio;fili.0o;支行[zhī háng]
filio;fili.0o;分部[fēn bù]
filio;fili.0o;支店[zhī diàn]
filio;fili.0o;分行[fēn háng]
filio;fili.0o;连锁店[lián suǒ diàn]
filio;fili.0o;分支机构[fēn zhī jī gòu]
filigrano;filigr.0o.BELA;細線細工[xì xiàn xì gōng]
filiko;filik.0o;蕨类[jué lèi]
filiko;filik.0o;欧洲蕨[ōu zhōu jué]
filiko;filik.0o;薇[wéi]
filikoj;;蕨类植物[jué lèi zhí wù]
Filipo;filip.0o;菲利普[fēi lì pǔ]
Filipo;filip.0o;腓力[féi lì]
filipino;filipin.0o;菲律宾人[fēi lü bīn rén]
Filipinoj;filipin.0oj;菲律普岛[fēi lü pǔ dǎo]
Filipinoj;filipin.0oj;小呂宋[xiǎo lǚ sòng]
Filipinoj;filipin.0oj;菲[fēi]
filistra;filist.0a;小心眼[xiǎo xīn yǎn]
filistro;filist.0o.fiburgxo;文职人员[wén zhí rén yuán]
filistro;filist.0o.fiburgxo;文职[wén zhí]
filiŝto;filisxt.0o;非利士人[fēi lì shì rén]
filmi;film.0i;拍片[pāi piān]
filmi;film.0i;射击[shè jí]
filmi;film.0i;录影[lù yǐng]
filmilo;film.0ilo;摄相机[shè xiāng jī]
filmkaseto;film.0kaseto;片盒[piàn hé]
filmo;film.0o;軟片[ruǎn piàn]
filmo;film.0o;感光胶片[gǎn guāng jiāo piàn]
filmo;film.0o;影片[yǐng piàn]
filmo;film.0o;胶片[jiāo piàn]
desegnofilmo;film.desegno0o;动画片[dòng huà piān]
desegnofilmo;film.desegno0o;美术片[měi shù piàn]
desegnofilmo;film.desegno0o;卡通[kǎ tōng]
desegnofilmo;film.desegno0o;动画[dòng huà]
dokumentfilmo;film.dokument0o;紀錄片[jì lù piàn]
kartoĉfilmo;film.kartocx0o;过滤器套筒[guò lü qì tào tǒng]
terurfilmo;film.terur0o;恐怖电影[kǒng bù diàn yǐng]
terurfilmo;film.terur0o;恐怖片[kǒng bù piàn]
vakerfilmo;film.vaker0o;西部片[xī bù piàn]
vakerfilmo;film.vaker0o;牛仔片[niú zǎi piàn]
vakerfilmo;film.vaker0o;美国西部片[měi guó xī bù piàn]
videfilmo;film.vide0o;动态影像[dòng tài yǐng xiàng]
videfilmo;film.vide0o;視頻片斷[shì pín piàn duàn]
filogenezo;;种系发生学[zhǒng xì fā shēng xué]
filogenezo;;种系发生[zhǒng xì fā shēng]
filologio;filolo1.0o;文字学[wén zì xué]
filologio;filolo1.0o;文献学[wén xiàn xué]
filono;filon.0o.BIO;門[mén]
filozofi;filozo.0i.science;进行哲学探讨[jìn xíng zhé xué tàn tǎo]
filozofo;filozo.0o.scienculo;哲学家[zhé xué jiā]
filozofo;filozo.0o.scienculo;思想家[sī xiǎng jiā]
filozofii;filozo1.0i;进行哲学探讨[jìn xíng zhé xué tàn tǎo]
filtri;filtr.0i;使过滤[shǐ guò lü]
filtri;filtr.0i;滤波[lü bō]
filtri;filtr.0i;使滤波[shǐ lü bō]
filtri;filtr.0i;滤[lü]
filtri;filtr.0i;筛[shāi]
filtri;filtr.0i;蔽[bì]
filtri;filtr.0i;滤液[lü yè]
filtriĝi;filtr.0igxi;灕[lí]
filtriĝi;filtr.0igxi;透进[tòu jìn]
filtriĝi;filtr.0igxi;渗出[shèn chū]
filtriĝi;filtr.0igxi;漓[lí]
filtriĝi;filtr.0igxi;渗过[shèn guò]
filtriĝi;filtr.0igxi;透过[tòu guò]
filtriĝi;filtr.0igxi;滴下[dī xià]
filtrilo;filtr.0ilo;过滤器[guò lü qì]
filtrilo;filtr.0ilo;滤清器[lü qīng qì]
filumo;;門[mén]
finaĵo;fin.0ajxo;尾巴[wěi ba]
finaĵo;fin.0ajxo;結局[jié jú]
finaĵo;fin.0ajxo;尾声[wěi shēng]
fine;fin.0e;总归[zǒng guī]
fine;fin.0e;归根结蒂[guī gēn jié dì]
fine;fin.0e;归根结底[guī gēn jié dǐ]
fine;fin.0e;算是[suàn shì]
fine de;fin.0ede;結果[jié guǒ]
fini;fin.0i;終了[zhōng liǎo]
fini;fin.0i;画句号[huà jù hào]
fini;fin.0i;截止[jié zhǐ]
finigi;fin.0igi;敲定[qiāo dìng]
finiĝi;;停下來[tíng xia lai]
finiĝi;;闋[què]
finiĝi;;息[xī]
finita;fin.0ita.KOMUNE;完了[wán le]
fino;fin.0o;到行尾[dào xíng wěi]
fino;fin.0o;結局[jié jú]
finofara;fin.0ofara;发育完全[fā yù wán quán]
finfine;fin.fin0e;临了[lín liǎo]
finfine;fin.fin0e;最終[zuì zhōng]
finfine;fin.fin0e;終歸[zhōng guī]
ĝisfine;fin.gxis0e;到头[dào tóu]
ĝisfine;fin.gxis0e;沒[mò]
nefinita;fin.ne0ita.KOMUNE;半半拉拉[bàn ban lā lā]
nefinita;fin.ne0ita.KOMUNE;未了[wèi liǎo]
nefinita;fin.ne0ita.KOMUNE;未完成[wèi wán chéng]
senfina;fin.sen0a;漫漫[màn màn]
senfina;fin.sen0a;永远[yǒng yuǎn]
senfina;fin.sen0a;不穷[bù qióng]
senfina;fin.sen0a;永无止境[yǒng wú zhǐ jìng]
senfina;fin.sen0a;沒完[méi wán]
finalano;final.0ano;入围者[rù wéi zhě]
finalano;final.0ano;决赛选手[jué sài xuǎn shǒu]
finalo;final.0o.MUZ;煞尾[shā wěi]
finalo;final.0o.MUZ;終曲[zhōng qǔ]
finalo;final.0o.MUZ;終場[zhōng chǎng]
duonfinalo;final.duon0o;半决赛[bàn jué sài]
duonfinalo;final.duon0o;准决赛[zhǔn jué sài]
kvaronfinalo;final.kvaron0o;四分之一决赛[sì fēn zhī yī jué sài]
kvaronfinalo;final.kvaron0o;半準決賽[bàn zhǔn jué sài]
finalisto;finalist.0o;入围者[rù wéi zhě]
finalisto;finalist.0o;决赛选手[jué sài xuǎn shǒu]
financa;financ.0a;金錢上[jīn qián shàng]
financa;financ.0a;財政上[cái zhèng shàng]
financi;financ.0i;融通[róng tōng]
financi;financ.0i;出資[chū zī]
financi;financ.0i;集資[jí zī]
financi;financ.0i;提供資金[tí gōng zī jīn]
financisto;financ.0isto;出資者[chū zī zhě]
financisto;financ.0isto;投資者[tóu zī zhě]
financisto;financ.0isto;投資商[tóu zī shāng]
financo;financ.0o.SCI;財務[cái wù]
financo;financ.0o.SCI;財政[cái zhèng]
financo;financ.0o.SCI;金融[jīn róng]
financo;financ.0o.SCI;金融界人物[jīn róng jiè rén wù]
fingraĉo;fingr.0acxo;爪儿[zhuǎ r]
fingraĉo;fingr.0acxo;爪[zhuǎ]
fingraĉo;fingr.0acxo;鉗[qián]
fingringo;fingr.0ingo;扺針[dǐ zhēn]
fingringo;fingr.0ingo;抵針[dǐ zhēn]
fingringo;fingr.0ingo;毛地黃[máo de huáng]
fingro;fingr.0o;手指[shǒu zhǐ]
fingro;fingr.0o;指头[zhǐ tou]
dikfingro;;大指[dà zhǐ]
longa fingro;fingr.longa0o;中指[zhōng zhǐ]
mezfingro;fingr.longa0o;中指[zhōng zhǐ]
malgranda fingro;fingr.malgranda0o;小拇指[xiǎo mu zhǐ]
malgranda fingro;fingr.malgranda0o;小手指[xiǎo shǒu zhǐ]
malgranda fingro;fingr.malgranda0o;小指[xiǎo zhǐ]
etfingro;fingr.malgranda0o;小拇指[xiǎo mu zhǐ]
etfingro;fingr.malgranda0o;小手指[xiǎo shǒu zhǐ]
etfingro;fingr.malgranda0o;小指[xiǎo zhǐ]
manfingro;fingr.man0o;手指[shǒu zhǐ]
manfingro;fingr.man0o;指头[zhǐ tou]
montra fingro;fingr.montra0o;食指[shí zhǐ]
montrofingro;fingr.montra0o;食指[shí zhǐ]
piedfingro;fingr.pied0o;指头[zhǐ tou]
ringfingro;;环指[huán zhǐ]
ringfingro;;无名指[wú míng zhǐ]
Finlando;finland.0o;芬兰[fēn lán]
finlandano;finland.f0ano;芬兰人[fēn lán rén]
finno;finn.0o;芬兰人[fēn lán rén]
Finnlando;finn.F0lando;芬兰[fēn lán]
Finnio;finni.0o;芬兰[fēn lán]
firma;firm.0a;固[gù]
firma;firm.0a;严密[yán mì]
firma;firm.0a;坚强[jiān qiáng]
firma;firm.0a;掔[qiān]
firma;firm.0a;稳定[wěn dìng]
firmaĵo;firm.0ajxo.BIB;穹苍[qiōng cāng]
firmigi;firm.0igi;棐[fěi]
firmigi;firm.0igi;壮大[zhuàng dà]
firmigi;firm.0igi;坚强[jiān qiáng]
firmigi;firm.0igi;增強[zēng qiáng]
firmeto;firm1.0eto;小型企业[xiǎo xíng qǐ yè]
etfirmao;firm1.0eto;小型企业[xiǎo xíng qǐ yè]
firmo;firm1.0o;厂商[chǎng shāng]
firmo;firm1.0o;商行[shāng háng]
firmo;firm1.0o;企业单位[qì yè dān wèi]
firmo;firm1.0o;厂[chǎng]
firmo;firm1.0o;企业[qǐ yè]
firmao;firm1.0o;厂商[chǎng shāng]
firmao;firm1.0o;商行[shāng háng]
firmao;firm1.0o;企业单位[qì yè dān wèi]
firmao;firm1.0o;厂[chǎng]
firmao;firm1.0o;企业[qǐ yè]
firsto;first.0o;栋[dòng]
fiska;fisk.0a;国库[guó kù]
fisko;fisk.0o.imposta;稅務當局[shuì wù dāng jú]
fisko;fisk.0o.imposta;稅務局[shuì wù jú]
fisko;fisk.0o.imposta;太府寺[tài fǔ sì]
fistulo;fistul.0o;瘺[lòu]
fistulo;fistul.0o;瘘[lòu]
fiŝhoko;fisx.0hoko;魚勾[yú gōu]
fiŝhoko;fisx.0hoko;魚鉤[yú gōu]
fiŝi;fisx.0i;渔[yú]
fiŝi;fisx.0i;捕魚[bǔ yú]
fiŝi;fisx.0i;魚業[yú yè]
fiŝisto;fisx.0isto.CXAS;魚夫[yú fū]
fiŝvergo;fisx.0stango;釣竿[diào gān]
fiŝvergo;fisx.0stango;釣魚竿[diào yú gān]
fiŝvergo;fisx.0stango;魚竿[yú gān]
fiŝvergo;fisx.0stango;鉸鏈[jiǎo liàn]
fiŝvendisto;fisx.0vendisto;魚夫[yú fū]
Fiŝoj;fisx.F0oj;双鱼[shuāng yú]
dornfiŝeto;fisx.dorn0eto;棘魚[jí yú]
kartilagofiŝo;fisx.kartilago0o;軟骨魚類[ruǎn gǔ yú lèi]
kartilagofiŝoj;fisx.kartilago0oj;軟骨魚類[ruǎn gǔ yú lèi]
marfiŝo;fisx.mar0o;咸水鱼[xián shuǐ yú]
orfiŝo;fisx.or0o;金魚[jīn yú]
ostofiŝoj;fisx.osto0oj;硬骨魚[yìng gǔ yú]
rabofiŝo;fisx.rabo0o;肉食魚[ròu shí yú]
spadfiŝo;fisx.spad0o;枪鱼[qiāng yú]
spadfiŝo;fisx.spad0o;箭魚[jiàn yú]
spadfiŝo;fisx.spad0o;剑鱼[jiàn yú]
fitiso;fitis.0o;柳莺属[liǔ yīng shǔ]
fitoplanktono;fitoplankton.0o;浮游植物[fú yóu zhí wù]
fitoplanktono;fitoplankton.0o;水藻[shuǐ zǎo]
fizika;fizik.0a;体格[tǐ gé]
fizika;fizik.0a;天生[tiān shēng]
fizikisto;fizik.0isto;物理学家[wù lǐ xué jiā]
fiziko;fizik.0o;物理学[wù lǐ xué]
astrofiziko;fizik.astro0o;天体物理学[tiān tǐ wù lǐ xué]
kernofiziko;fizik.kerno0o;核物理[hé wù lǐ]
kernofiziko;fizik.kerno0o;原子核物理学[yuán zǐ hé wù lǐ xué]
fiziokratismo;fiziokrat.0ismo;重农主义[zhòng nóng zhǔ yì]
fiziokratismo;fiziokrat.0ismo;重农学派[zhòng nóng xué pài]
fiziologo;fiziol.0o;生理学家[shēng lǐ xué jiā]
fiziologiisto;fiziol1.0isto;生理学家[shēng lǐ xué jiā]
fiziologio;fiziol1.0o;生理学[shēng lǐ xué]
fizioterapio;fiziot.0o;物理疗法[wù lǐ liáo fǎ]
fizioterapio;fiziot.0o;理疗[lǐ liáo]
fizioterapio;fiziot.0o;物理治疗[wù lǐ zhì liáo]
fjordo;;峡湾[xiá wān]
flago;flag.0o;營纛[yíng dū]
flago;flag.0o;旗帜[qí zhì]
flagreti;flagr.0eti.KOMUNE;淡光[dàn guāng]
flagri;flagr.0i.flirti;晔[yè]
flagri;flagr.0i.flirti;忽閃[hū shǎn]
flagri;flagr.0i.flirti;一閃一閃[yī shǎn yī shǎn]
flagri;flagr.0i.flirti;搖曳[yáo yè]
flagri;flagr.0i.alterni;一閃一閃[yī shǎn yī shǎn]
flagri;flagr.0i.alterni;搖曳[yáo yè]
flagri;flagr.0i.alterni;閃閃發光[shǎn shǎn fā guāng]
flagri;flagr.0i.alterni;忽悠[hū yōu]
flagri;flagr.0i.KOMUNE;一閃一閃[yī shǎn yī shǎn]
flagri;flagr.0i.KOMUNE;搖曳[yáo yè]
flagri;flagr.0i.KOMUNE;閃閃發光[shǎn shǎn fā guāng]
flagri;flagr.0i.KOMUNE;忽悠[hū yōu]
flako;flak.0o;水洼[shuǐ wā]
flako;flak.0o;和泥浆[hé ní jiāng]
flakono;flakon.0o;任何瓶状容器[rèn hé píng zhuàng róng qì]
flakono;flakon.0o;長頸瓶[cháng jǐng píng]
flakono;flakon.0o;小瓶[xiǎo píng]
flakono;flakon.0o;醋瓶子[cù píng zi]
flakono;flakon.0o;双轮的手车[shuāng lún de shǒu chē]
flama;flam.0a.FIZ;煝[mèi]
flama;flam.0a.FIZ;冒火焰[mào huǒ yàn]
flama;flam.0a.FIZ;发亮光[fā liàng guāng]
flama;flam.0a.FIZ;煃[kuǐ]
flama;flam.0a.FIZ;燡[yì]
flami;flam.0i;惔[tán]
flamigi;flam.0igi;点[diǎn]
flamigi;flam.0igi;使发炎[shǐ fā yán]
flamigi;flam.0igi;使愤怒[shǐ fèn nù]
flamigi;flam.0igi;使兴奋[shǐ xīng fèn]
flamigi;flam.0igi;煽动[shān dòng]
flamiĝema;flam.0igxema;易起火[yì qǐ huǒ]
flamiĝema;flam.0igxema;可燃[kě rán]
flamiĝema;flam.0igxema;可燃的[kě rán de]
flamiĝema;flam.0igxema;可易燃的[kě yì rán de]
flamingo;flam.0ingo;喷嘴[pēn zuǐ]
flamingo;flam.0ingo;烧嘴[shāo zuǐ]
flamo;flam.0o.FIZ;爌[kuǎng]
flamo;flam.0o.FIZ;火苗[huǒ miáo]
flamo;flam.0o.FIZ;火焰[huǒ yàn]
ekflami;;煽动[shān dòng]
flamengo;flameng.0o;火烈鳥[huǒ liè niǎo]
flamenko;flamenk.0o;弗拉明戈[fú lā míng gē]
flano;flan.0o;面餅[miàn bǐng]
flano;flan.0o;大餅[dà bǐng]
flandro;flandr.0o;網路論戰[wǎng lù lùn zhàn]
Flandrujo;flandr.F0ujo;佛兰德[fó lán dé]
Flandrujo;flandr.F0ujo;佛拉芒[fú lā máng]
Flandrio;flandri.0o;佛兰德[fó lán dé]
Flandrio;flandri.0o;佛拉芒[fú lā máng]
flanelo;flanel.0o;絨布[róng bù]
flanĝo;flangx.0o;法兰盘[fǎ lán pán]
flanĝo;flangx.0o;法兰[fǎ lán]
flanka;flank.0a.FIG;順便[shùn biàn]
flanka;flank.0a.FIG;可以忽略[kě yǐ hū lüè]
flanka;flank.0a.FIG;微不足道[wéi bù zú dào]
flanka;flank.0a.kie;从侧面[cōng cè miàn]
flankalflanke;flank.0al0e;挨艰擦膀[āi jiān cā bǎng]
flanke;flank.0e;从侧面[cōng cè miàn]
flanke de;flank.0ede.aldone;不仅如此[bù jǐn rú cǐ]
flanke de;flank.0ede.aldone;再者[zài zhě]
flanke de;flank.0ede.aldone;再說[zài shuō]
flanke de;flank.0ede.aldone;除此之外[chú cǐ zhī wài]
flanke de;flank.0ede.apud;从侧面[cōng cè miàn]
flanki;flank.0i;守侧面[shǒu cè miàn]
flanki;flank.0i;攻击侧面[gōng jī cè miàn]
flanki;flank.0i;陪伴[péi bàn]
forflankiĝi;flank.0igxi;有分歧[yǒu fèn qí]
forflankiĝi;flank.0igxi;异体[yì tǐ]
forflankiĝi;flank.0igxi;漂[piāo]
flankiĝi;flank.0igxi;有分歧[yǒu fèn qí]
flankiĝi;flank.0igxi;异体[yì tǐ]
flankiĝi;flank.0igxi;偏离[piān lí]
flanko;flank.0o;侧面[cè miàn]
flanko;flank.0o;翼[yì]
flanko;flank.0o;旁[páng]
flanko;flank.0o;頁邊[yè biān]
flanko ĉe flanko;flank.0o_cxe_0o;挨艰擦膀[āi jiān cā bǎng]
aliflanke;flank.ali0e;反过来说[fǎn guò lái shuō]
aliflanke;flank.ali0e;另一方面[lìng yī fāng miàn]
aliflanke;flank.ali0e;为一方[wéi yī fāng]
aliflanke;flank.ali0e;另一边[lìng yī biān]
ambaŭflanka;flank.ambaux0a;双方[shuāng fāng]
ambaŭflanka;flank.ambaux0a;两旁[liǎng páng]
deflankiĝi;flank.de0igxi;有分歧[yǒu fèn qí]
deflankiĝi;flank.de0igxi;异体[yì tǐ]
deflankiĝi;flank.de0igxi;偏离[piān lí]
dorsflanko;flank.dors0o;在背上[zài bèi shàng]
dorsflanko;flank.dors0o;椅子靠背[yǐ zi kào bèi]
dorsflanko;flank.dors0o;在背后[zài bèi hòu]
dorsflanko;flank.dors0o;在背面[zài bèi miàn]
dorsflanko;flank.dors0o;顛倒[diān dǎo]
dorsflanko;flank.dors0o;后方[hòu fāng]
dorsflanko;flank.dors0o;背部[bèi bù]
dorsflanko;flank.dors0o;阴[yīn]
unuflanka;flank.unu0a;只有一边[zhǐ yǒu yī biān]
unuflanka;flank.unu0a;单侧[dān cè]
unuflanka;flank.unu0a;一面倒[yī miàn dǎo]
unuflanka;flank.unu0a;单面[dān miàn]
unuflanka;flank.unu0a;单方面地[dān fāng miàn de]
unuflanka;flank.unu0a;单方[dān fāng]
unuflanka;flank.unu0a;片面[piàn miàn]
unuflanka;flank.unu0a;一侧[yī cè]
unuflanke;flank.unu0e;另方面[lìng fāng miàn]
unuflanke;flank.unu0e;在一方面[zài yì fāng miàn]
unuflanke;flank.unu0e;为一方[wéi yī fāng]
unuflanke;flank.unu0e;上头[shàng tóu]
flari;;嗅聞氣味[xiù wén qì wèi]
flari;;聞[wén]
flarpovo;flar.0povo;嗅覺[xiù jué]
flarkapablo;flar.0povo;嗅覺[xiù jué]
enflari;flar.en0i;嗅[xiù]
flatanto;flat.0anto0ulo;順民[shùn mín]
flatanto;flat.0anto0ulo;巴儿狗[bā r gǒu]
flati;flat.0i;諛[yú]
flati;flat.0i;詖[bì]
flati;flat.0i;唯美[wéi měi]
flati;flat.0i;誘勸[yòu quàn]
flati;flat.0i;諂媚[chǎn mèi]
flati;flat.0i;哫[zú]
flati;flat.0i;献媚[xiàn mèi]
flati;flat.0i;拍馬屁[pāi mǎ pì]
flati;flat.0i;媚[mèi]
flati;flat.0i;妩[wǔ]
flati;flat.0i;舔屁股[tiǎn pì gu]
flati;flat.0i;戴高帽[dài gāo mào]
ĉirkaŭflatadi;flat.cxirkaux0adi;逢[féng]
flaŭno;flauxn.0o;布丁[bù dīng]
flaŭro;flauxr.0o;植物群[zhí wù qún]
flaŭro;flauxr.0o;花神[huā shén]
flaŭro;flauxr.0o;植物区系[zhí wù qū xì]
flaŭro;flauxr.0o;福罗拉[fú luó lā]
flaveta;flav.0eta;带黄[dài huáng]
flaveta;flav.0eta;带黄色[dài huáng sè]
flaveta;flav.0eta;黃色的[huáng sè de]
flaveta;flav.0eta;金錢方面[jīn qián fāng miàn]
ovoflavo;flav.ov0o;蛋黃[dàn huáng]
flegi;fleg.0i.FIG;維修[wéi xiū]
flegi;fleg.0i.FIG;照料[zhào liào]
flegisto;fleg.0isto;护士[hù shi]
flegisto;fleg.0isto;男护士[nán hù shi]
flegisto;fleg.0isto;护理员[hù lǐ yuán]
flegisto;fleg.0isto;女护理员[nǚ hù lǐ yuán]
flegisto;fleg.0isto;监护人[jiān hù rén]
flegisto;fleg.0isto;护士[hù shì]
flegisto;fleg.0isto;勤务兵[qín wù bīng]
flegma;flegm.0a;漠然[mò rán]
flegma;flegm.0a;疏懒[shū lǎn]
flegma;flegm.0a;慢轉[màn zhuǎn]
flegma;flegm.0a;怠惰[dài duò]
flegmulo;;慢性子[màn xìng zi]
flegmo;;痰[tán]
fleksa;fleks.0a.0igxema;耎[ruǎn]
fleksaĵo;fleks.0ajxo;弯曲度[wān qū dù]
fleksaĵo;fleks.0ajxo;弯曲[wān qū]
fleksebla;fleks.0ebla;耎[ruǎn]
fleksebla;fleks.0ebla;乖[guāi]
fleksi;fleks.0i.kurbigi;弓[gōng]
fleksi;fleks.0i.kurbigi;折[zhé]
fleksiĝo;fleks.0igxo;弯曲[wān qū]
fleksiĝo;fleks.0igxo;弯曲度[wān qū dù]
flekso;fleks.0o.0ita_parto;弯曲[wān qū]
flekso;fleks.0o.0ita_parto;弯曲度[wān qū dù]
nefleksebla;fleks.ne0igxema.KOMUNE;不屈服[bù qū fú]
nefleksebla;fleks.ne0igxema.KOMUNE;坚强不屈[jiān qiáng bù qū]
nefleksiĝema;fleks.ne0igxema.KOMUNE;不屈服[bù qū fú]
nefleksiĝema;fleks.ne0igxema.KOMUNE;坚强不屈[jiān qiáng bù qū]
transfleksiĝejo;;轉捩點[zhuǎn liè diǎn]
transfleksiĝejo;;契机[qì jī]
fleso;fles.0o;平魚[píng yú]
fleso;fles.0o;鰜[jiān]
flikaĵo;flik.0ajxo;补丁[bǔ ding]
fliki;flik.0i.FIG;躜[zuān]
fliki;flik.0i.FIG;拼起來[pīn qi lai]
fliki;flik.0i.FIG;协同[xié tóng]
fliki;flik.0i.ripari;修补过[xiū bǔ guò]
fliki;flik.0i.ripari;打了补丁[dǎ liǎo bǔ dīng]
fliki;flik.0i.ripari;修补匠[xiū bǔ jiàng]
fliki;flik.0i.ripari;紩[zhì]
fliki;flik.0i.ripari;靪[dīng]
fliki;flik.0i.ripari;裰[duō]
flirtema;flirt.0ema;喜新厌旧[xǐ xīn yàn jiù]
flirti;flirt.0i.FIG;玩弄女性[wán nòng nǚ xìng]
flirti;flirt.0i.FIG;風情萬種[fēng qíng wàn zhǒng]
flirti;flirt.0i.FIG;調情[tiáo qíng]
flirti;flirt.0i.FIG;卖俏[mài qiào]
flirti;flirt.0i.MOV;展翅[zhǎn chì]
flirti;flirt.0i.MOV;飄揚[piāo yáng]
flirti;flirt.0i.MOV;搖晃[yáo huàng]
flirti;flirt.0i.MOV;扬[yáng]
flirti;flirt.0i.MOV;犹豫[yóu yù]
flirti;flirt.0i.MOV;招展[zhāo zhǎn]
flirti;flirt.0i.MOV;舞弄[wǔ nòng]
flirti;flirt.0i.MOV;招手[zhāo shǒu]
flirti;flirt.0i.MOV;挥舞[huī wǔ]
flirto;flirt.0o.FIG;性魅力的誘惑[xìng mèi lì de yòu huò]
floko;flok.0o;鱗片[lín piàn]
floko;flok.0o;鱗[lín]
florado;flor.0ado;頂盛時[dǐng shèng shí]
florado;flor.0ado;开花季节[kāi huā jì jié]
florado;flor.0ado;繁榮時期[fán róng shí qī]
florado;flor.0ado;盛世[shèng shì]
floraĵo;flor.0ajxo;开花期[kāi huā qī]
floraĵo;flor.0ajxo;兴旺时期[xīng wàng shí qī]
floraĵo;flor.0ajxo;花期[huā qī]
floraĵo;flor.0ajxo;全盛时期[quán chéng shí qī]
floraro;flor.0aro;花序[huā xù]
florejo;flor.0ejo;花坛[huā tán]
florejo;flor.0ejo;花圃[huā pǔ]
florejo;flor.0ejo;花床[huā chuáng]
florejo;flor.0ejo;苗圃[miáo pǔ]
flori;flor.0i;开花[kāi huā]
flori;flor.0i;兴旺[xīng wàng]
flori;flor.0i;秀[xiù]
flori;flor.0i;开放[kāi fàng]
flori;flor.0i;勃发[bó fā]
floro;flor.0o.BOT;开花期[kāi huā qī]
floro;flor.0o.BOT;兴旺时期[xīng wàng shí qī]
floro;flor.0o.BOT;花期[huā qī]
floro;flor.0o.BOT;全盛时期[quán chéng shí qī]
floro;flor.0o.BOT;花朵[huā duǒ]
floro;flor.0o.BOT;花[huā]
floroplantoj;flor.0oplant;种子植物[zhǒng zi zhí wù]
ekflori;flor.ek0i;荟[huì]
ekflori;flor.ek0i;群花[qún huā]
ekflori;flor.ek0i;兴[xīng]
ekflori;flor.ek0i;兴荣[xīng róng]
ekflori;flor.ek0i;兴盛[xīng shèng]
ekflori;flor.ek0i;綻放[zhàn fàng]
ekflori;flor.ek0i;吐艳[tǔ yàn]
forflori;flor.for0i;枯乾[kū gān]
forflori;flor.for0i;溜掉[liū diào]
forflori;flor.for0i;萎[wěi]
majfloro;flor.maj0o;鈴蘭屬[líng lán shǔ]
majfloro;flor.maj0o;鈴蘭[líng lán]
martofloro;flor.marto0o;雪片[xuě piàn]
neĝofloro;flor.negxo0o.BOT;火絨草[huǒ róng cǎo]
neĝofloro;flor.negxo0o.BOT;高山火絨草[gāo shān huǒ róng cǎo]
neĝofloro;flor.negxo0o.BOT;雪絨花[xuě róng huā]
sunfloro;flor.sun0o;葵花[kuí huā]
sunfloro;flor.sun0o;葵[kuí]
