-o;o.0;头[tou],頭[tou]
oportuno;oportu.0o;良机[liáng jī],良機[liáng jī]
maloportuna;oportu.mal0a;未便[wèi biàn]
maloportuna;oportu.mal0a;不合时宜[bù hé shí yí],不合時宜[bù hé shí yí]
maloportuna;oportu.mal0a;不相宜[bù xiāng yí]
maloportuna;oportu.mal0a;不适合[bù shì hé],不適合[bù shì hé]
maloportuna;oportu.mal0a;不合适[bù hé shì],不合適[bù hé shì]
maloportuna;oportu.mal0a;不适宜[bù shì yí],不適宜[bù shì yí]
maloportuna;oportu.mal0a;不順利[bù shùn lì],不顺利[bù shùn lì]
maloportuna;oportu.mal0a;欠妥[qiàn tuǒ]
maloportuna;oportu.mal0a;缺乏善意[quē fá shàn yì]
maloportunaĵo;oportu.mal0ajxo;周折[zhōu zhé]
maloportunaĵo;oportu.mal0ajxo;烦劳[fán láo],煩勞[fán láo]
maloportunaĵo;oportu.mal0ajxo;不情愿[bù qíng yuàn],不情願[bù qíng yuàn]
maloportunaĵo;oportu.mal0ajxo;不舒服[bù shū fu]
maloportunaĵo;oportu.mal0ajxo;不愿意[bù yuàn yì],不願意[bù yuàn yì]
maloportunaĵo;oportu.mal0ajxo;小病[xiǎo bìng]
opozicii;opozic.0i;对立[duì lì],對立[duì lì]
opozicii;opozic.0i;強烈反對[qiáng liè fǎn duì],强烈反对[qiáng liè fǎn duì]
opozicii;opozic.0i;抗拒[kàng jù]
opozicii;opozic.0i;抗击[kàng jī],抗擊[kàng jī]
opozicii;opozic.0i;撄[yīng],攖[yīng]
opozicio;opozic.0o;在野党[zài yě dǎng],在野黨[zài yě dǎng]
opozicio;opozic.0o;野党[yě dǎng],野黨[yě dǎng]
opoziciulo;opozic.0ulo;政敌[zhèng dí],政敵[zhèng dí]
opresi;opres.0i;压迫[yā pò],壓迫[yā pò]
opreso;opres.0o;压迫[yā pò],壓迫[yā pò]
opreso;opres.0o;迫害[pò hài]
opreso;opres.0o;压力[yā lì],壓力[yā lì]
optika;optik.0a;光纜[guāng lǎn],光缆[guāng lǎn]
optikisto;optik.0isto;光学仪器商[guāng xué yí qì shāng],光學儀器商[guāng xué yí qì shāng]
optikisto;optik.0isto;光学仪器制造厂[guāng xué yí qì zhì zào chǎng],光學儀器製造廠[guāng xué yí qì zhì zào chǎng]
optikisto;optik.0isto;眼鏡商[yǎn jìng shāng],眼镜商[yǎn jìng shāng]
optiko;optik.0o;光学[guāng xué],光學[guāng xué]
optiko;optik.0o;光学系统[guāng xué xì tǒng],光學系統[guāng xué xì tǒng]
optimisma;optimi.0a;乐观[lè guān],樂觀[lè guān]
optimisma;optimi.0a;乐天[lè tiān],樂天[lè tiān]
optimisma;optimi.0a;乐天派[lè tiān pài],樂天派[lè tiān pài]
optimismo;optimi.0o;乐观主义[lè guān zhǔ yì],樂觀主義[lè guān zhǔ yì]
optimisto;optimi1.0o;乐天派[lè tiān pài],樂天派[lè tiān pài]
optimisto;optimi1.0o;乐观主义者[lè guān zhǔ yì zhě],樂觀主義者[lè guān zhǔ yì zhě]
optimuma;optimum.0a;最佳[zuì jiā]
optimuma;optimum.0a;最优[zuì yōu],最優[zuì yōu]
optimuma;optimum.0a;最善[zuì shàn]
optimuma;optimum.0a;最适[zuì shì],最適[zuì shì]
optimuma;optimum.0a;最适宜[zuì shì yí],最適宜[zuì shì yí]
optimuma;optimum.0a;最有利[zuì yǒu lì]
optimuma;optimum.0a;最理想[zuì lǐ xiǎng]
optimumigi;optimum.0igi;优化[yōu huà],優化[yōu huà]
optimumigi;optimum.0igi;最优化[zuì yòu huà],最優化[zuì yòu huà]
oraĵisto;or.0ajxisto;金匠[jīn jiàng]
oraĵisto;or.0ajxisto;金飾工[jīn shì gōng],金饰工[jīn shì gōng]
orbazo;or.0bazo.EKON;金本位[jīn běn wèi]
orejo;or.0ejo;金矿[jīn kuàng],金礦[jīn kuàng]
ori;or.0i.tr;泥金[ní jīn]
ori;or.0i.tr;鑲金[xiāng jīn],镶金[xiāng jīn]
oro;or.0o;金子[jīn zi]
oro;or.0o;黃金[huáng jīn],黄金[huáng jīn]
oro;or.0o;鋆[yún]
orumi;or.0umi;泥金[ní jīn]
oracio;oraci.0o;致辞[zhì cí],致辭[zhì cí]
oracio;oraci.0o;演說[yǎn shuō],演说[yǎn shuō]
orakolo;orakol.0o;神諭[shén yù],神谕[shén yù]
orakolo;orakol.0o;諭示[yù shì],谕示[yù shì]
orangutango;orangu.0o;猩猩[xīng xing]
orangutango;orangu.0o;人猿[rén yuán]
orangutango;orangu.0o;猩[xīng]
orangutango;orangu.0o;紅毛猩猩[hóng máo xīng xīng],红毛猩猩[hóng máo xīng xīng]
oranĝa;orangx.0a;緹[tí],缇[tí]
oranĝa;orangx.0a;橘紅[jú hóng],橘红[jú hóng]
oranĝujo;orangx.0arbo;橘树[jú shù],橘樹[jú shù]
oranĝkolora;orangx.0kolora;緹[tí],缇[tí]
oranĝkolora;orangx.0kolora;橘紅[jú hóng],橘红[jú hóng]
oranĝkoloro;orangx.0koloro;橙[chéng]
oranĝkoloro;orangx.0koloro;橘紅[jú hóng],橘红[jú hóng]
oranĝo;orangx.0o;橙[chéng]
oranĝo;orangx.0o;橙子[chéng zi]
oranĝo;orangx.0o;柳丁[liǔ dīng]
oranĝo;orangx.0o;柳橙[liǔ chéng]
oratoraĵo;orator.0ajxo;演說[yǎn shuō],演说[yǎn shuō]
oratoraĵo;orator.0ajxo;話[huà],话[huà]
oratoraĵo;orator.0ajxo;陈词[chén cí],陳詞[chén cí]
oratoro;orator.0o;演說者[yǎn shuō zhě],演说者[yǎn shuō zhě]
oratoro;orator.0o;語者[yǔ zhě],语者[yǔ zhě]
oratorio;oratori.0o;神剧[shén jù],神劇[shén jù]
orbito;orbit.0o;眼眶[yǎn kuàng]
orbito;orbit.0o.ANA;眶[kuàng]
orbito;orbit.0o.ANA;眼眶[yǎn kuàng]
orbito;orbit.0o.AST;行星軌道[xíng xīng guǐ dào],行星轨道[xíng xīng guǐ dào]
orcino;orcin.0o.orko;虎鯨[hǔ jīng],虎鲸[hǔ jīng]
orcino;orcin.0o.orko;逆戟鯨[nì jǐ jīng],逆戟鲸[nì jǐ jīng]
orcino;orcin.0o.orko;杀人鲸[shā rén jīng],殺人鯨[shā rén jīng]
orda;ord.0a;有系統[yǒu xì tǒng],有系统[yǒu xì tǒng]
orda;ord.0a;有序[yǒu xù]
orda;ord.0a;整齊[zhěng qí],整齐[zhěng qí]
orda;ord.0a;有秩序[yǒu zhì xù]
orda;ord.0a;崭齐[zhǎn qí],嶄齊[zhǎn qí]
ordema;ord.0ema;整齊[zhěng qí],整齐[zhěng qí]
ordema;ord.0ema;有序[yǒu xù]
ordigi;ord.0igi;整理[zhěng lǐ]
ordigi;ord.0igi;勒令[lè lìng]
ordigi;ord.0igi;布置好[bù zhì hǎo]
ordigi;ord.0igi;有秩序[yǒu zhì xù]
ordigi;ord.0igi;飭[chì],饬[chì]
ordo;ord.0o;秩[zhì]
ordo;ord.0o;順序[shùn xù],顺序[shùn xù]
ordo;ord.0o;次序[cì xù]
ordo;ord.0o;条贯[tiáo guàn],條貫[tiáo guàn]
ordo;ord.0o;秩序[zhì xù]
alordigi;ord.al0igi;归入[guī rù],歸入[guī rù]
alordigi;ord.al0igi;补充编入[bǔ chōng biān rù],補充編入[bǔ chōng biān rù]
bonorda;ord.bon0a.MAT;井井有条[jǐng jǐng yǒu tiáo],井井有條[jǐng jǐng yǒu tiáo]
bona ordo;ord.bona0o;良序关系[liáng xù guān xi],良序關係[liáng xù guān xi]
en ordo!;ord.en0o;美好[měi hǎo]
en ordo!;ord.en0o;好啦[hǎo la]
en ordo!;ord.en0o;好吧[hǎo ba]
en ordo!;ord.en0o;好吗[hǎo ma],好嗎[hǎo ma]
en ordo!;ord.en0o;不差[bù chà]
kunordigi;ord.kun0igi;协调[xié tiáo],協調[xié tiáo]
kunordigi;ord.kun0igi;調協[tiáo xié],调协[tiáo xié]
malordaĵo;ord.mal0ajxo;混乱[hùn luàn],混亂[hùn luàn]
malordaĵo;ord.mal0ajxo;紊乱[wěn luàn],紊亂[wěn luàn]
malordaĵo;ord.mal0ajxo;乱象[luàn xiàng],亂象[luàn xiàng]
malordaĵo;ord.mal0ajxo;脫序[tuō xù],脱序[tuō xù]
malordigi;ord.mal0igi;扰[rǎo],擾[rǎo]
malordigi;ord.mal0igi;搅[jiǎo],攪[jiǎo]
malordigi;ord.mal0igi;搅乱[jiǎo luàn],攪亂[jiǎo luàn]
malordo;ord.mal0o;混乱[hùn luàn],混亂[hùn luàn]
malordo;ord.mal0o;杂乱[zá luàn],雜亂[zá luàn]
malordo;ord.mal0o;紊乱[wěn luàn],紊亂[wěn luàn]
malordo;ord.mal0o;凌乱[líng luàn],凌亂[líng luàn]
publika ordo;ord.publika0o;治安[zhì ān]
reordigi;ord.re0igi;重排[chóng pái]
senorda;ord.sen0a;乱蓬蓬[luàn péng péng],亂蓬蓬[luàn péng péng]
senorda;ord.sen0a;胡花[hú huā]
senorda;ord.sen0a;襶[dài]
senordo;ord.sen0o;失調[shī tiáo],失调[shī tiáo]
senordo;ord.sen0o;紊乱[wěn luàn],紊亂[wěn luàn]
subordigi;ord.sub0igi;属下[shǔ xià],屬下[shǔ xià]
tagordo;ord.tag0o;議程[yì chéng],议程[yì chéng]
tagordo;ord.tag0o;議事日程[yì shì rì chéng],议事日程[yì shì rì chéng]
vortordo;ord.vort0o;詞序[cí xù],词序[cí xù]
vortordo;ord.vort0o;語序[yǔ xù],语序[yǔ xù]
ordeno;orden.0o;兄弟会[xiōng dì huì],兄弟會[xiōng dì huì]
ordeno;orden.0o;章[zhāng]
ordeno;orden.0o.insigno;勋章[xūn zhāng],勛章[xūn zhāng]
ordeno;orden.0o.insigno;徽[huī]
ordeno;orden.0o.insigno;奖章[jiǎng zhāng],獎章[jiǎng zhāng]
ordinara;ordina.0a;平常[píng cháng]
ordinara;ordina.0a;平时[píng shí],平時[píng shí]
ordinara;ordina.0a;一般[yī bān]
ordinara;ordina.0a;中常[zhōng cháng]
ordinara;ordina.0a;平凡[píng fán]
ordinara;ordina.0a;庸[yōng]
ordinara;ordina.0a;普通[pǔ tōng]
ordinara;ordina.0a;正常[zhèng cháng]
ordinara;ordina.0a;平淡[píng dàn]
ordinara;ordina.0a;简单[jiǎn dān],簡單[jiǎn dān]
ordinara;ordina.0a;通常[tōng cháng]
ordinara;ordina.0a;照說[zhào shuō],照说[zhào shuō]
ordinara;ordina.0a;寻常[xún cháng],尋常[xún cháng]
ordinare;ordina.0e;平常[píng cháng]
ordinare;ordina.0e;平时[píng shí],平時[píng shí]
ordinaro;ordina.0o;平常[píng cháng]
ordinarulo;ordina.0ulo;普通人[pǔ tōng rén]
ordinarulo;ordina.0ulo;常人[cháng rén]
ordinarulo;ordina.0ulo;平人[píng rén]
eksterordinara;ordina.ekster0a;出奇[chū qí]
eksterordinara;ordina.ekster0a;非凡[fēi fán]
eksterordinara;ordina.ekster0a;非常[fēi cháng]
eksterordinara;ordina.ekster0a;异乎寻常[yì hū xún cháng],異乎尋常[yì hū xún cháng]
eksterordinara;ordina.ekster0a;异[yì],異[yì]
eksterordinara;ordina.ekster0a;了不起[liǎo bu qǐ]
eksterordinara;ordina.ekster0a;特殊[tè shū]
neordinara;ordina.ne0a;不同寻常[bù tóng xún cháng],不同尋常[bù tóng xún cháng]
neordinara;ordina.ne0a;不平常[bù píng cháng]
neordinara;ordina.ne0a;出奇[chū qí]
neordinara;ordina.ne0a;別樣[bié yàng],别样[bié yàng]
neordinara;ordina.ne0a;反常[fǎn cháng]
neordinara;ordina.ne0a;奇特[qí tè]
neordinara;ordina.ne0a;特[tè]
neordinara;ordina.ne0a;特殊[tè shū]
ordinato;ordina1.0o;縱座標[zòng zuò biāo],纵坐标[zòng zuò biāo]
ordinacio;ordinac.0;按手礼[àn shǒu lǐ],按手禮[àn shǒu lǐ]
ordinacio;ordinac.0;按立[àn lì]
ordonema;ordon.0ema;权威[quán wēi],權威[quán wēi]
ordonema;ordon.0ema;主人派头[zhǔ rén pài tóu],主人派頭[zhǔ rén pài tóu]
ordonema;ordon.0ema;家長式[jiā zhǎng shì],家长式[jiā zhǎng shì]
ordonema;ordon.0ema;专横[zhuān héng],專橫[zhuān héng]
ordonema;ordon.0ema;豪爽[háo shuǎng]
ordoni;ordon.0i;吩咐[fēn fù]
ordoni;ordon.0i;飭[chì],饬[chì]
ordoni;ordon.0i;咐[fù]
ordoni;ordon.0i;命令[mìng lìng]
ordoni;ordon.0i;勒令[lè lìng]
ordoni;ordon.0i;諭[yù],谕[yù]
ordoni;ordon.0i;令[lìng]
ordoni;ordon.0i;吩[fēn]
ordoni;ordon.0i;叫[jiào],呌[jiào]
ordoni;ordon.0i;指挥[zhǐ huī],指揮[zhǐ huī]
ordono;ordon.0o;命令[mìng lìng]
ordono;ordon.0o;指令[zhǐ lìng]
ordono;ordon.0o;指挥[zhǐ huī],指揮[zhǐ huī]
ordono;ordon.0o;指挥权[zhǐ huī quán],指揮權[zhǐ huī quán]
ordono;ordon.0o;号令[hào lìng],號令[hào lìng]
ordono;ordon.0o;訓令[xùn lìng],训令[xùn lìng]
ordono;ordon.0o;指示[zhǐ shì]
ordono;ordon.0o.KOMP;命令[mìng lìng]
Oregono;oregon.0o;俄勒冈[Á lè gāng],俄勒岡[Á lè gāng]
Oregono;oregon.0o;俄勒冈州[Á lè gāng zhōu],俄勒岡州[Á lè gāng zhōu]
orelbruo;orel.0bruo;耳鳴[ěr míng],耳鸣[ěr míng]
orelbruo;orel.0bruo;聎[tiāo]
orelo;orel.0o;耳[ěr]
orelo;orel.0o;耳朵[ěr duo]
orelo;orel.0o;耳根子[ěr gēn zi]
orelo;orel.0o;耳根[ěr gēn]
orfejo;orf.0ejo;孤儿院[gū ér yuàn],孤兒院[gū ér yuàn]
orfejo;orf.0ejo;保育院[bǎo yù yuàn]
orfo;orf.0o;孤儿[gū ér],孤兒[gū ér]
orfo;orf.0o;无双亲的孩子[wú shuāng qīn de hái zi],無雙親的孩子[wú shuāng qīn de hái zi]
orfo;orf.0o;遗孤[yí gū],遺孤[yí gū]
orfo;orf.0o;孤子[gū zǐ]
orfo;orf.0o;孤哀子[gū āi zǐ]
orfo;orf.0o;遗男[yí nán],遺男[yí nán]
Orfeo;orfe.0o;俄耳甫斯[é ěr fǔ sī]
organa;organ.0a;有机[yǒu jī],有機[yǒu jī]
organaro;organ.0aro;器官系統[qì guān xì tǒng],器官系统[qì guān xì tǒng]
organeto;organ.0eto;細胞器[xì bāo qì],细胞器[xì bāo qì]
organo;organ.0o;机构[jī gòu],機構[jī gòu]
organo;organ.0o;內臟[nèi zàng],内脏[nèi zàng]
sensorgano;organ.sens0o;感官[gǎn guān]
sensorgano;organ.sens0o;感覺器[gǎn jué qì],感觉器[gǎn jué qì]
sensorgano;organ.sens0o;感覺器官[gǎn jué qì guān],感觉器官[gǎn jué qì guān]
sensorgano;organ.sens0o;五官[wǔ guān]
organika;organi.0a;有机[yǒu jī],有機[yǒu jī]
neorganika;organi.ne0a;无机[wú jī],無機[wú jī]
organismo;organi1.0o;机体[jī tǐ],機體[jī tǐ]
organismo;organi1.0o;肌体[jī tǐ],肌體[jī tǐ]
organismo;organi1.0o;生物[shēng wù]
organismo;organi1.0o;有机体[yǒu jī tǐ],有機體[yǒu jī tǐ]
organo;;器官[qì guān]
organa;;器官[qì guān]
organizado;organi2.0ado;組織[zǔ zhī],组织[zǔ zhī]
organizado;organi2.0ado;組團[zǔ tuán],组团[zǔ tuán]
organizado;organi2.0ado;系統化[xì tǒng huà],系统化[xì tǒng huà]
organizaĵo;organi2.0ajxo;机构[jī gòu],機構[jī gòu]
organizaĵo;organi2.0ajxo;組織[zǔ zhī],组织[zǔ zhī]
organizaĵo;organi2.0ajxo;团体[tuán tǐ],團體[tuán tǐ]
organizaĵo;organi2.0ajxo;社团[shè tuán],社團[shè tuán]
organizaĵo;organi2.0ajxo;社会团体[shè huì tuán tǐ],社會團體[shè huì tuán tǐ]
Organizaĵo por Sekureco kaj Kunlaboro en Eŭropo;organi2.0ajxo_por_Sekureco_kaj_Kunlaboro_en_Euxropo;欧洲安全与合作组织[Āu zhōu Ān quán yǔ Hé zuò Zǔ zhī],歐洲安全與合作組織[Āu zhōu Ān quán yǔ Hé zuò Zǔ zhī]
organizi;organi2.0i;組織[zǔ zhī],组织[zǔ zhī]
organizi;organi2.0i;組[zǔ],组[zǔ]
organizi;organi2.0i;举办[jǔ bàn],舉辦[jǔ bàn]
organizo;organi2.0o;机构[jī gòu],機構[jī gòu]
organizo;organi2.0o;团体[tuán tǐ],團體[tuán tǐ]
organizo;organi2.0o;社团[shè tuán],社團[shè tuán]
organizo;organi2.0o;組織[zǔ zhī],组织[zǔ zhī]
organizo;organi2.0o;組團[zǔ tuán],组团[zǔ tuán]
Internacia Labor-Organizaĵo;organi2.Internacia_Labor0ajxo;国际劳工组织[Guó jì Láo gōng Zǔ zhī],國際勞工組織[Guó jì Láo gōng Zǔ zhī]
malorganiziĝi;organi2.dis0igxi;解体[jiě tǐ],解體[jiě tǐ]
neregistara organizaĵo;organi2.neregistara0ajxo;民間組織[mín jiān zǔ zhī],民间组织[mín jiān zǔ zhī]
neregistara organizaĵo;organi2.neregistara0ajxo;非政府組織[fēi zhèng fǔ zǔ zhī],非政府组织[fēi zhèng fǔ zǔ zhī]
neregistara organizaĵo;organi2.neregistara0ajxo;非政府机构[fēi zhèng fǔ jī gòu],非政府機構[fēi zhèng fǔ jī gòu]
reorganizi;organi2.re0i;重新安排[chóng xīn ān pái]
reorganizi;organi2.re0i;重新組織[chóng xīn zǔ zhī],重新组织[chóng xīn zǔ zhī]
reorganizi;organi2.re0i;改組[gǎi zǔ],改组[gǎi zǔ]
reorganizi;organi2.re0i;整頓[zhěng dùn],整顿[zhěng dùn]
reorganizi;organi2.re0i;重整[chóng zhěng]
orgasmo;orgasm.0o;性高潮[xìng gāo cháo]
orgasmi;;高潮[gāo cháo]
orgeno;orgen.0o;管風琴[guǎn fēng qín],管风琴[guǎn fēng qín]
orgojla;orgojl.0a;傲[ào]
orgojla;orgojl.0a;驕[jiāo],骄[jiāo]
orgojla;orgojl.0a;憍[jiāo]
orgojla;orgojl.0a;高傲[gāo ào]
orgojla;orgojl.0a;自大[zì dà]
orgojla;orgojl.0a;嚣张[xiāo zhāng],囂張[xiāo zhāng]
orgojla;orgojl.0a;傲慢[ào màn]
orgojli;orgojl.0i;拿大[ná dà]
orgojlo;orgojl.0o;驕傲[jiāo ào],骄傲[jiāo ào]
orgojlo;orgojl.0o;自傲[zì ào]
orgojlo;orgojl.0o;自大[zì dà]
orgojlo;orgojl.0o;目中无人[mù zhōng wú rén],目中無人[mù zhōng wú rén]
orielo;oriel.0o;凸窗[tū chuāng]
orienta;orient.0a;东部[dōng bù],東部[dōng bù]
orienta;orient.0a;向东方[xiàng dōng fāng],向東方[xiàng dōng fāng]
orienta;orient.0a;从东[cóng dōng],從東[cóng dōng]
orienta;orient.0a;从东方[cóng dōng fāng],從東方[cóng dōng fāng]
orienta;orient.0a;自东[zì dōng],自東[zì dōng]
orienta;orient.0a;东方国家[dōng fāng guó jiā],東方國家[dōng fāng guó jiā]
orienten;orient.0en;向东[xiàng dōng],向東[xiàng dōng]
orienti;orient.0i;导向[dǎo xiàng],導向[dǎo xiàng]
orientiĝo;orient.0igxo;方向[fāng xiang]
orientilo;orient.0ilo;地标[dì biāo],地標[dì biāo]
orientilo;orient.0ilo;取向点[qǔ xiàng diǎn],取向點[qǔ xiàng diǎn]
orientilo;orient.0ilo;定位中心[dìng wèi zhōng xīn]
orientilo;orient.0ilo;定位点[dìng wèi diǎn],定位點[dìng wèi diǎn]
orientilo;orient.0ilo;方向点[fāng xiàng diǎn],方向點[fāng xiàng diǎn]
orientilo;orient.0ilo;辨認方向的標誌[biàn rèn fāng xiàng de biāo zhì],辨认方向的标志[biàn rèn fāng xiàng de biāo zhì]
orientiĝo;;取向[qǔ xiàng]
Ekstremoriento;orient.ekstrem0o;远东[Yuǎn dōng],遠東[Yuǎn dōng]
Oriento;;东方[dōng fāng],東方[dōng fāng]
misorientiĝi;orient.mis0igxi;迷失[mí shī]
misorientiĝi;orient.mis0igxi;迷路[mí lù]
nordoriente;orient.nord0e;东北方[dōng běi fāng],東北方[dōng běi fāng]
sudoriente;orient.sud0e;在东南[zài dōng nán],在東南[zài dōng nán]
sudoriente;orient.sud0e;从东南[cóng dōng nán],從東南[cóng dōng nán]
orientalismo;orient1.0o.SCI;东方式[dōng fāng shì],東方式[dōng fāng shì]
orientalismo;;亚洲研究[yà zhōu yán jiū],亞洲研究[yà zhōu yán jiū]
orientalismo;;东方主义[dōng fāng zhǔ yì],東方主義[dōng fāng zhǔ yì]
orientalistiko;orientalistik.0o;东方式[dōng fāng shì],東方式[dōng fāng shì]
orientalistiko;orientalistik.0o;亚洲研究[yà zhōu yán jiū],亞洲研究[yà zhōu yán jiū]
orientalistiko;orientalistik.0o;东方主义[dōng fāng zhǔ yì],東方主義[dōng fāng zhǔ yì]
orifico;orific.0o;窍[qiào],竅[qiào]
origano;origan.0o;牛至[niú zhì]
origina;origin.0a;原先[yuán xiān]
origina;origin.0a;原來[yuán lái],原来[yuán lái]
origina;origin.0a;原[yuán]
origina;origin.0a;原本[yuán běn]
origina;origin.0a;本來[běn lái],本来[běn lái]
origina;origin.0a;原定[yuán dìng]
origini;origin.0i;來源於[lái yuán yú],来源于[lái yuán yú]
origine;;原來[yuán lái],原来[yuán lái]
origino;origin.0o.MAT;由來[yóu lái],由来[yóu lái]
origino;origin.0o.deveno;來歷[lái lì],来历[lái lì]
origino;origin.0o.deveno;根源[gēn yuán]
origino;origin.0o.deveno;淵源[yuān yuán],渊源[yuān yuán]
origino;origin.0o.deveno;出身[chū shēn]
origino;origin.0o.kauxzo;由來[yóu lái],由来[yóu lái]
origino;origin.0o.kauxzo;根源[gēn yuán]
origino;origin.0o.kauxzo;肇[zhào],肈[zhào]
origino;origin.0o.kauxzo;原产地[yuán chǎn dì],原產地[yuán chǎn dì]
origino;origin.0o.kauxzo;原件[yuán jiàn]
origino;origin.0o.kauxzo;來源[lái yuán],来源[lái yuán]
originala;origin1.0a;原本[yuán běn]
originala;origin1.0a;原[yuán]
originala;origin1.0a;原汁原味[yuán zhī yuán wèi]
originala;origin1.0a;戛戛独造[jiá jiá dú zào],戛戛獨造[jiá jiá dú zào]
originala;origin1.0a;独到[dú dào],獨到[dú dào]
originalo;origin1.0o;原件[yuán jiàn]
originalo;origin1.0o;原作[yuán zuò]
originalo;origin1.0o;原物[yuán wù]
originalo;origin1.0o;正本[zhèng běn]
originalo;origin1.0o;原文[yuán wén]
originalo;origin1.0o;原著[yuán zhù]
oriolo;oriol.0o;鶬[cāng],鸧[cāng]
oriolo;oriol.0o;鶊[gēng],鹒[gēng]
oriolo;oriol.0o;鸝[lí],鹂[lí]
oriolo;oriol.0o;鶊[gēng]
oriolo;oriol.0o;鶬[cāng]
oriolo;oriol.0o;莺鸟[yīng niǎo],鶯鳥[yīng niǎo]
orkestrejo;orkest.0ejo;乐池[yuè chí],樂池[yuè chí]
orkestro;orkest.0o;交响乐团[jiāo xiǎng yuè tuán],交響樂團[jiāo xiǎng yuè tuán]
orkestro;orkest.0o;乐团[yuè tuán],樂團[yuè tuán]
orkestro;orkest.0o;管弦乐团[guǎn xián yuè tuán],管弦樂團[guǎn xián yuè tuán]
orkido;orkid.0o.ANA;睾丸[gāo wán]
orkido;orkid.0o.BOT;兰花[lán huā],蘭花[lán huā]
orkido;orkid.0o.BOT;兰[lán],蘭[lán]
orkido;orkid.0o.BOT;佩兰[pèi lán],佩蘭[pèi lán]
orkido;orkid.0o.BOT;蘭[lán]
orkido;orkid.0o.BOT;薽[zhēn]
orkidacoj;orkidac.0oj;蘭[lán]
orkideo;orkide.0o;兰花[lán huā],蘭花[lán huā]
orkideo;orkide.0o;兰[lán],蘭[lán]
orkideo;orkide.0o;薽[zhēn]
orkideo;orkide.0o;佩兰[pèi lán],佩蘭[pèi lán]
orkideo;orkide.0o;蘭[lán]
orli;orl.0i;卷边[juǎn biān],捲邊[juǎn biān]
orli;orl.0i;衣服縫邊[yī fú fèng biān],衣服缝边[yī fú fèng biān]
orlo;orl.0o;卷边[juǎn biān],捲邊[juǎn biān]
orlo;orl.0o;衣服縫邊[yī fú fèng biān],衣服缝边[yī fú fèng biān]
orlo;orl.0o;下摆[xià bǎi],下擺[xià bǎi]
orlo;orl.0o;底边[dǐ biān],底邊[dǐ biān]
orlo;orl.0o;䙓[bǎi],襬[bǎi]
Orleano;orlean.0o;奥尔良[ào ěr liáng],奧爾良[ào ěr liáng]
ornamado;ornam.0ado;飾[shì],饰[shì]
ornamaĵo;ornam.0ajxo;妆[zhuāng],粧[zhuāng]
ornamaĵo;ornam.0ajxo;瓖[xiāng]
ornamaĵo;ornam.0ajxo;妆[zhuāng],妝[zhuāng]
ornamaĵo;ornam.0ajxo;佩飾[pèi shì],佩饰[pèi shì]
ornamaĵo;ornam.0ajxo;装潢[zhuāng huáng],裝潢[zhuāng huáng]
ornamaĵo;ornam.0ajxo;装饰品[zhuāng shì pǐn],裝飾品[zhuāng shì pǐn]
ornamaĵo;ornam.0ajxo;配飾[pèi shì],配饰[pèi shì]
ornamaĵo;ornam.0ajxo;飾品[shì pǐn],饰品[shì pǐn]
ornamaĵo;ornam.0ajxo;飾物[shì wù],饰物[shì wù]
ornamaĵo;ornam.0ajxo;添飾[tiān shì],添饰[tiān shì]
ornamaĵo;ornam.0ajxo;装饰物[zhuāng shì wù],裝飾物[zhuāng shì wù]
ornamaĵo;ornam.0ajxo;綴飾[zhuì shì],缀饰[zhuì shì]
ornami;ornam.0i;修飾[xiū shì],修饰[xiū shì]
ornami;ornam.0i;飾[shì],饰[shì]
ornami;ornam.0i;装饰[zhuāng shì],裝飾[zhuāng shì]
ornami;ornam.0i;点缀[diǎn zhuì],點綴[diǎn zhuì]
ornami;ornam.0i;装点[zhuāng diǎn],裝點[zhuāng diǎn]
ornamo;ornam.0o.ado;飾[shì],饰[shì]
ornamo;ornam.0o.ado;装饰物[zhuāng shì wù],裝飾物[zhuāng shì wù]
ornamo;ornam.0o.ado;瓖[xiāng]
ornamo;ornam.0o.ado;藏品[cáng pǐn]
ornitologio;ornito.0o;鳥類學[niǎo lèi xué],鸟类学[niǎo lèi xué]
ornitorinko;ornito1.0o;鴨嘴獸[yā zuǐ shòu],鸭嘴兽[yā zuǐ shòu]
orta;ort.0a.angulo;直角[zhí jiǎo]
ortangulilo;ort.0ilo;三角尺[sān jiǎo chǐ]
orto;ort.0o;直角[zhí jiǎo]
orto;ort.0o;正角[zhèng jué]
ortodoksa kristanismo;ortodo.0akristanismo;正教[zhèng jiào]
ortodoksa kristanismo;ortodo.0akristanismo;正統[zhèng tǒng],正统[zhèng tǒng]
ortodoksismo;ortodo.0ismo;正統[zhèng tǒng],正统[zhèng tǒng]
ortodoksismo;ortodo.0ismo;正教[zhèng jiào]
ortodoksismo;ortodo.0ismo;正統觀念[zhèng tǒng guān niàn],正统观念[zhèng tǒng guān niàn]
ortodoksismo;ortodo.0ismo;正統說法[zhèng tǒng shuō fa],正统说法[zhèng tǒng shuō fa]
malortodoksa;;非教条[fēi jiào tiáo],非教條[fēi jiào tiáo]
ortografio;ortogr.0o;正詞法[zhèng cí fǎ],正词法[zhèng cí fǎ]
misortografii;ortogr.mis0i;拼錯[pīn cuò],拼错[pīn cuò]
ortopediisto;ortope.0isto;整形外科医师[zhěng xíng wài kē yī shī],整形外科醫師[zhěng xíng wài kē yī shī]
