rabaĵo;rab.0ajxo;贓[zāng],赃[zāng]
rekompenci;rekomp.0i.io;打賞[dǎ shǎng],打赏[dǎ shǎng]
rekompenci;rekomp.0i.iu;奖励[jiǎng lì],獎勵[jiǎng lì]
rekompenci;rekomp.0i.iu;犒賞[kào shǎng],犒赏[kào shǎng]
rekompenci;rekomp.0i.iu;鯠[lái]
rekompenco;rekomp.0o;回報[huí bào],回报[huí bào]
rekompenco;rekomp.0o;賞金[shǎng jīn],赏金[shǎng jīn]
rekompenco;rekomp.0o;薪酬[xīn chóu]
rekordo;rekord.0o;記錄[jì lù],记录[jì lù]
rekordo;rekord.0o;紀錄[jì lù],纪录[jì lù]
rekrutigi;rekrut.0igi;招募[zhāo mù]
rekrutigi;rekrut.0igi;招聘[zhāo pìn]
rekrutigi;rekrut.0igi;征才[zhēng cái],徵才[zhēng cái]
rekrutigi;rekrut.0igi;招人[zhāo rén]
rekrutigi;rekrut.0igi;募[mù]
rekrutigi;rekrut.0igi;招請[zhāo qǐng],招请[zhāo qǐng]
rekrutigi;rekrut.0igi;招录[zhāo lù],招錄[zhāo lù]
rekruto;rekrut.0o.MIL;新兵[xīn bīng]
rekta;rekt.0a;一径[yī jìng],一徑[yī jìng]
rekta;rekt.0a;俓[jìng],𠇹[jìng]
rekta;rekt.0a;挺[tǐng]
rekta;rekt.0a;照直[zhào zhí]
rekta;rekt.0a;直截了当[zhí jié liǎo dàng],直截了當[zhí jié liǎo dàng]
rekta;rekt.0a;直接[zhí jiē]
rekta;rekt.0a;迳直[jìng zhí],逕直[jìng zhí]
rektigi;rekt.0igi.TIP;对准[duì zhǔn],對準[duì zhǔn]
rektigilo;rekt.0igilo;整流器[zhěng liú qì]
rektigilo;rekt.0igilo;拉直者[lā zhí zhě]
rektigilo;rekt.0igilo;改革者[gǎi gé zhě]
rektigilo;rekt.0igilo;矫正者[jiǎo zhèng zhě],矯正者[jiǎo zhèng zhě]
rektilo;rekt.0ilo;直尺[zhí chǐ]
rektilo;rekt.0ilo;尺子[chǐ zi]
rekto;rekt.0o;直線[zhí xiàn],直线[zhí xiàn]
duonrekto;rekt.duon0o;射線[shè xiàn],射线[shè xiàn]
duonrekto;rekt.duon0o;半直線[bàn zhí xiàn],半直线[bàn zhí xiàn]
duonrekto;rekt.duon0o;半線[bàn xiàn],半线[bàn xiàn]
elrektiĝi;rekt.el0igxi;挺身[tǐng shēn]
eŭlera rekto;rekt.euxlera0o;欧拉线[ōu lā xiàn],歐拉線[ōu lā xiàn]
malrekta;rekt.mal0a;曲[qū]
malrekta;rekt.mal0a;踠[wǎn]
malrekta;rekt.mal0a;間接[jiàn jiē],间接[jiàn jiē]
malrekta;rekt.mal0a;骫[wěi]
malrekta;rekt.mal0a;棩[yuān]
nerekta;rekt.ne0a;間接[jiàn jiē],间接[jiàn jiē]
samrekta;rekt.sam0a;共線[gòng xiàn],共线[gòng xiàn]
rektifi;;精餾[jīng liù],精馏[jīng liù]
rektifilo;rektif.0ilo;拉直者[lā zhí zhě]
rektifilo;rektif.0ilo;改革者[gǎi gé zhě]
rektifilo;rektif.0ilo;矫正者[jiǎo zhèng zhě],矯正者[jiǎo zhèng zhě]
rektoro;rektor.0o;教区长[jiào qū cháng],教區長[jiào qū cháng]
rektumo;rektum.0o;直肠[zhí cháng],直腸[zhí cháng]
rektumo;rektum.0o;肛門直腸[gāng mén zhí cháng],肛门直肠[gāng mén zhí cháng]
rekursia;rekursi.0a;递推[dì tuī],遞推[dì tuī]
rekursia;rekursi.0a;递归[dì guī],遞歸[dì guī]
rekursio;rekursi.0o;递推[dì tuī],遞推[dì tuī]
rekursio;rekursi.0o;递归[dì guī],遞歸[dì guī]
rekviemo;rekvie.0o;安魂弥撒[ān hún mí sǎ],安魂彌撒[ān hún mí sǎ]
rekvizicio;rekviz.0o;申請單[shēn qǐng dān],申请单[shēn qǐng dān]
rekvizito;rekvizit.0o;道具[dào jù]
rekvizito;rekvizit.0o;切末[qiè mo]
rekvizito;rekvizit.0o;必要物品[bì yào wù pǐn]
rekvizito;rekvizit.0o;需要品[xū yào pǐn]
rekvizito;rekvizit.0o;非要不可[fēi yào bu kě]
relo;rel.0o;軌[guǐ],轨[guǐ]
relo;rel.0o;鋼軌[gāng guǐ],钢轨[gāng guǐ]
relo;rel.0o;鐵軌[tiě guǐ],铁轨[tiě guǐ]
relajo;relajs.0o;繼電器[jì diàn qì],继电器[jì diàn qì]
relajo;relajs.0o;繼電器開關[jì diàn qì kāi guān],继电器开关[jì diàn qì kāi guān]
relativa;relati.0a;相对[xiāng duì],相對[xiāng duì]
relativa;relati.0a;較為[jiào wéi],较为[jiào wéi]
relativismo;relati.0ismo;相对主义[xiāng duì zhǔ yì],相對主義[xiāng duì zhǔ yì]
relegacii;relegaci.0i;赶走[gǎn zǒu],趕走[gǎn zǒu]
relegacii;relegaci.0i;放逐[fàng zhú]
relegacii;relegaci.0i;发配[fā pèi],發配[fā pèi]
malaltreliefo;relief.malalt0o;浅浮雕[qiǎn fú diāo],淺浮雕[qiǎn fú diāo]
senreliefa;relief.sen0a;平[píng]
senreliefa;relief.sen0a;平坦[píng tǎn]
religia;religi.0a;虔誠[qián chéng],虔诚[qián chéng]
religio;religi.0o;宗教[zōng jiào]
religio;religi.0o;教[jiào]
religia;;信教[xìn jiào]
relikvo;relikv.0o;剩餘物[shèng yú wù],剩馀物[shèng yú wù]
relikvo;relikv.0o;圣人的遗物[shèng rén de yí wù],聖人的遺物[shèng rén de yí wù]
relikvo;relikv.0o;圣骨[shèng gǔ],聖骨[shèng gǔ]
relikvo;relikv.0o;遗宝[yí bǎo],遺寶[yí bǎo]
relikto;;遗风[yí fēng],遺風[yí fēng]
relikto;;遗迹[yí jī],遺跡[yí jī]
remi;rem.0i;划船[huá chuán]
remi;rem.0i;一排[yī pái]
remi;rem.0i;划桨[huà jiǎng],劃槳[huà jiǎng]
remi;rem.0i;楫[jí]
remilo;rem.0ilo;枻[yì]
remilo;rem.0ilo;桨[jiǎng],槳[jiǎng]
remilo;rem.0ilo;楫[jí]
postremilo;rem.post0ilo;棹[zhào],櫂[zhào]
remburi;rembur.0i.KOMUNE;塞满[sāi mǎn],塞滿[sāi mǎn]
remburi;rembur.0i.KOMUNE;垫[diàn],墊[diàn]
remizo;remiz.0o;車庫[chē kù],车库[chē kù]
remizo;remiz.0o;船棚[chuán péng]
remizo;remiz.0o;車房[chē fáng],车房[chē fáng]
remorki;remork.0i;拖行[tuō xíng]
remorki;remork.0i;牵引[qiān yǐn],牽引[qiān yǐn]
remorko;remork.0o;拖車[tuō chē],拖车[tuō chē]
remorko;remork.0o;挂车[guà chē],掛車[guà chē]
remparo;rempar.0o;壁[bì]
remparo;rempar.0o;筑城[zhù chéng],築城[zhù chéng]
reno;ren.0o;肾脏[shèn zàng],腎臟[shèn zàng]
reno;ren.0o;肾[shèn],腎[shèn]
reno;ren.0o;腰子[yāo zi]
rendevui;rendev.0i;約會[yuē huì],约会[yuē huì]
rendevui;rendev.0i;約見[yuē jiàn],约见[yuē jiàn]
rendevui;rendev.0i;相約[xiāng yuē],相约[xiāng yuē]
rendevui;rendev.0i;預約[yù yuē],预约[yù yuē]
rendevui;rendev.0i;約[yuē],约[yuē]
rendevuo;rendev.0o;約會[yuē huì],约会[yuē huì]
rendevuo;rendev.0o;幽会[yōu huì],幽會[yōu huì]
rendevuo;rendev.0o;約[yuē],约[yuē]
rendevuo;rendev.0o;預約[yù yuē],预约[yù yuē]
rendimenta;rendiment.0a;裨[bì]
rendimenta;rendiment.0a;有効[yǒu xiào],有效[yǒu xiào]
rendimenta;rendiment.0a;有利可图[yǒu lì kě tú],有利可圖[yǒu lì kě tú]
rendimento;rendiment.0o;效率[xiào lù:]
rendimento;rendiment.0o;功效[gōng xiào]
rendimento;rendiment.0o;效益[xiào yì]
rendimento;rendiment.0o;投資回報[tóu zī huí bào],投资回报[tóu zī huí bào]
rendimento;rendiment.0o;产量[chǎn liàng],產量[chǎn liàng]
altrendimenta;rendiment.alt0a;高产[gāo chǎn],高產[gāo chǎn]
renegato;renega.0o;逆賊[nì zéi],逆贼[nì zéi]
renegato;renega.0o;变节者[biàn jié zhě],變節者[biàn jié zhě]
renesanco;renesa.0o;文艺复兴[Wén yì fù xīng],文藝復興[Wén yì fù xīng]
renesanco;renesa.0o;文艺复兴时期[wén yì fù xīng shí qī],文藝復興時期[wén yì fù xīng shí qī]
renesanco;renesa.0o;复兴时代[Fù xīng Shí dài],復興時代[Fù xīng Shí dài]
renio;reni.0o;錸[lái],铼[lái]
renkonti;renkon.0i;相遇[xiāng yù]
renkonti;renkon.0i;碰上[pèng shàng]
renkonti;renkon.0i;碰面[pèng miàn]
renkonti;renkon.0i;遇[yù]
renkonti;renkon.0i;遇見[yù jiàn],遇见[yù jiàn]
renkonti;renkon.0i;遭遇[zāo yù]
renkonti;;相会[xiāng huì],相會[xiāng huì]
renkontiĝi;renkon.0igxikun;巧合[qiǎo hé]
renkontiĝi;renkon.0igxikun;相遇[xiāng yù]
renkontiĝi;renkon.0igxikun;相会[xiāng huì],相會[xiāng huì]
renkontiĝo;renkon.0igxo;碰面[pèng miàn]
renkontiĝo;renkon.0igxo;会面[huì miàn],會面[huì miàn]
renkontiĝo;renkon.0igxo;相会[xiāng huì],相會[xiāng huì]
renkontiĝo;renkon.0igxo;碰头[pèng tóu],碰頭[pèng tóu]
renkontiĝo;renkon.0igxo.kunokazo;約會[yuē huì],约会[yuē huì]
renkonto;renkon.0o;会晤[huì wù],會晤[huì wù]
renkonto;renkon.0o;偶遇[ǒu yù]
renkonto;renkon.0o;相遇[xiāng yù]
renkonto;renkon.0o;相会[xiāng huì],相會[xiāng huì]
renkonto;renkon.0o;自会[zì huì],自會[zì huì]
renminbio;renminbi.0o;人民币[rén mín bì],人民幣[rén mín bì]
renoma;renom.0a;有声望[yǒu shēng wàng],有聲望[yǒu shēng wàng]
renoma;renom.0a;夸口[kuā kǒu],誇口[kuā kǒu]
renoma;renom.0a;久盛不衰[jiǔ shèng bù shuāi]
renoma;renom.0a;受到尊敬[shòu dào zūn jìng]
renoma;renom.0a;可敬[kě jìng]
renoma;renom.0a;有声誉[yǒu shēng yù],有聲譽[yǒu shēng yù]
renomo;renom.0o;名气[míng qì],名氣[míng qì]
renomo;renom.0o;名望[míng wàng]
renomo;renom.0o;盛誉[shèng yù],盛譽[shèng yù]
rento;rent.0o;年金[nián jīn]
rento;rent.0o;利润率[lì rùn lǜ],利潤率[lì rùn lǜ]
rentgenio;rentgeni.0o;錀[lún]
renversaĵo;renver.0ajxo.permuto;乱序[luàn xù],亂序[luàn xù]
renversi;renver.0i;掀翻[xiān fān]
renversi;renver.0i;倾[qīng],傾[qīng]
renversi;renver.0i;偾[fèn],僨[fèn]
mondrenversa;renver.mond0a;革命性[gé mìng xìng]
ŝtatrenverso;renver.sxtat0o;政变[zhèng biàn],政變[zhèng biàn]
repertuaro;repert.0o;保留剧目[bǎo liú jù mù],保留劇目[bǎo liú jù mù]
repertuaro;repert.0o;剧目[jù mù],劇目[jù mù]
repertuaro;repert.0o;彙編[huì biān],汇编[huì biān]
repetitoro;repetitor.0o;家教[jiā jiào]
repetitoro;repetitor.0o;家庭教师[jiā tíng jiào shī],家庭教師[jiā tíng jiào shī]
repliki;replik.0i;回答[huí dá]
repliki;replik.0i;应对[yìng duì],應對[yìng duì]
repliki;replik.0i;酬对[chóu duì],酬對[chóu duì]
repliki;replik.0i;应答[yìng dá],應答[yìng dá]
reportero;reporter.0o;記者[jì zhě],记者[jì zhě]
represii;represi.0i;压制[yā zhì],壓制[yā zhì]
represii;represi.0i;鎮壓[zhèn yā],镇压[zhèn yā]
reprezalii;reprezali.0i;報復[bào fù],报复[bào fù]
reprezalio;reprezali.0o.JUR;報復[bào fù],报复[bào fù]
reprezentanto;reprezent.0anto;代表[dài biǎo]
reprezentanto;reprezent.0anto;代理[dài lǐ]
reprezentejo;reprezent.0ejo;派出机构[pái chū jī gòu]
reprezenti;reprezent.0i;代表[dài biǎo]
klasreprezentanto;reprezent.klas0anto;班代[bān dài]
klasreprezentanto;reprezent.klas0anto;班長[bān zhǎng],班长[bān zhǎng]
reptilio;reptil.0o;爬虫[pá chóng],爬蟲[pá chóng]
reptilio;reptil.0o;爬虫类[pá chóng lèi],爬蟲類[pá chóng lèi]
reptilio;reptil.0o;爬行类[pá xíng lèi],爬行類[pá xíng lèi]
reptilioj;reptil.0oj;爬行动物[pá xíng dòng wù],爬行動物[pá xíng dòng wù]
repudii;repudi.0i;分手[fēn shǒu]
reputacio;reputa.0o;声誉[shēng yù],聲譽[shēng yù]
reputacio;reputa.0o;誉[yù],譽[yù]
reputacio;reputa.0o;名誉[míng yù],名譽[míng yù]
reputacio;reputa.0o;信誉[xìn yù],信譽[xìn yù]
reputacio;reputa.0o;名声[míng shēng],名聲[míng shēng]
reputacio;reputa.0o;名头[míng tou],名頭[míng tou]
resonanco;resona.0o;共鳴[gòng míng],共鸣[gòng míng]
resonanco;resona.0o;共振[gòng zhèn]
resonanco;resona.0o;諧振[xié zhèn],谐振[xié zhèn]
respekta;respek.0a;恭敬[gōng jìng]
respekta;respek.0a;恭[gōng]
respekta;respek.0a;肃[sù],肅[sù]
respektege;respek.0ege;恭敬[gōng jìng]
respektege;respek.0ege;肃然起敬[sù rán qǐ jìng],肅然起敬[sù rán qǐ jìng]
respektegi;respek.0egi;尊崇[zūn chóng]
respektego;respek.0ego;敬意[jìng yì]
respektego;respek.0ego;敬畏[jìng wèi]
respekti;respek.0i;翊[yì]
respektinda;respek.0inda;尊貴[zūn guì],尊贵[zūn guì]
respektinda;respek.0inda;本本分分[běn běn fèn fèn]
respektinda;respek.0inda;可敬[kě jìng]
respekto;respek.0o;敬意[jìng yì]
respekto;respek.0o;崇敬[chóng jìng]
respekto;respek.0o;尊重[zūn zhòng]
malrespekti;respek.mal0i;藐視[miǎo shì],藐视[miǎo shì]
malrespekti;respek.mal0i;鄙夷[bǐ yí]
malrespekti;respek.mal0i;鄙賤[bǐ jiàn],鄙贱[bǐ jiàn]
malrespekti;respek.mal0i;冒渎[mào dú],冒瀆[mào dú]
malrespekti;respek.mal0i;輕侮[qīng wǔ],轻侮[qīng wǔ]
malrespekti;respek.mal0i;小視[xiǎo shì],小视[xiǎo shì]
malrespekti;respek.mal0i;小覷[xiǎo qù],小觑[xiǎo qù]
malrespekti;respek.mal0i;看不起[kàn bu qǐ]
malrespekti;respek.mal0i;菲薄[fěi bó]
malrespekti;respek.mal0i;蔑視[miè shì],蔑视[miè shì]
malrespekta;;渎[dú],瀆[dú]
memrespekto;respek.mem0o;自尊[zì zūn]
memrespekto;respek.mem0o;自尊心[zì zūn xīn]
memrespekto;respek.mem0o;自愛[zì ài],自爱[zì ài]
senrespekte al;respek.sen0eal;毫无顾虑[háo wú gù lǜ],毫無顧慮[háo wú gù lǜ]
respektiva;respek1.0a;各自[gè zì]
responda;;对应[duì yìng],對應[duì yìng]
respondeco;respon.0eco.intera;相等物[xiāng děng wù]
respondeco;respon.0eco.responso;职责[zhí zé],職責[zhí zé]
respondeco;respon.0eco.responso;責任[zé rèn],责任[zé rèn]
respondeco;respon.0eco.responso;干係[gān xì],干系[gān xì]
respondeco;respon.0eco.responso;荷[hè]
respondeco;respon.0eco.responso;說明原因[shuō míng yuán yīn],说明原因[shuō míng yuán yīn]
respondi;respon.0i;回答[huí dá]
respondi;respon.0i;解答[jiě dá]
respondi;respon.0i;响应[xiǎng yìng],響應[xiǎng yìng]
respondi;respon.0i;作答[zuò dá]
respondi;respon.0i;搭白[dā bái]
respondi;respon.0i;答[dá]
respondi;respon.0i;酬对[chóu duì],酬對[chóu duì]
respondi;respon.0i;应[yìng],應[yìng]
respondi;respon.0i;回信[huí xìn]
respondi;respon.0i;回应[huí yìng],回應[huí yìng]
respondi;respon.0i;应对[yìng duì],應對[yìng duì]
respondi;respon.0i.lauxi;符合[fú hé]
respondi;respon.0i.lauxi;相匹配[xiāng pī pèi]
respondi;respon.0i.reagi;响应[xiǎng yìng],響應[xiǎng yìng]
respondi;respon.0i.reagi;接[jiē]
respondi;respon.0i.responsi;可加解說[kě jiā jiě shuō],可加解说[kě jiā jiě shuō]
respondi;respon.0i.responsi;可說明[kě shuō míng],可说明[kě shuō míng]
respondi;respon.0i.responsi;职责[zhí zé],職責[zhí zé]
respondaparato;respon.0ilo.aparato;答录机[dá lù jī],答錄機[dá lù jī]
respondaparato;respon.0ilo.aparato;自动答应录音电话[zì dòng dá yìng lù yīn diàn huà],自動答應錄音電話[zì dòng dá yìng lù yīn diàn huà]
respondaparato;respon.0ilo.aparato;电话应答器[diàn huà yìng dā qì],電話應答器[diàn huà yìng dā qì]
respondaparato;respon.0ilo.aparato;电话应答机[diàn huà yìng dā jī],電話應答機[diàn huà yìng dā jī]
respondaparato;respon.0ilo.aparato;电话答录机[diàn huà dā lù jī],電話答錄機[diàn huà dā lù jī]
respondaparato;respon.0ilo.aparato;留言应答机[liú yán yìng dá jī],留言應答機[liú yán yìng dá jī]
respondo;respon.0o;回答[huí dá]
respondo;respon.0o;解答[jiě dá]
respondo;respon.0o;答[dá]
respondo;respon.0o;答案[dá àn]
respondo;respon.0o;回应[huí yìng],回應[huí yìng]
respondo;respon.0o;回話[huí huà],回话[huí huà]
respondo;respon.0o;应对[yìng duì],應對[yìng duì]
respondo;respon.0o;回覆[huí fù]
responduma;respon.pri0a0eca0uma;負責任[fù zé rèn],负责任[fù zé rèn]
responduma;respon.pri0a0eca0uma;主掌[zhǔ zhǎng]
responduma;respon.pri0a0eca0uma;有肩膀[yǒu jiān bǎng]
responduma;respon.pri0a0eca0uma;有責任[yǒu zé rèn],有责任[yǒu zé rèn]
responduma;respon.pri0a0eca0uma;主管[zhǔ guǎn]
prirespondi;respon.pri0i.responsi;职责[zhí zé],職責[zhí zé]
prirespondi;respon.pri0i.responsi;說明原因[shuō míng yuán yīn],说明原因[shuō míng yuán yīn]
prirespondi;respon.pri0i.responsi;可加解說[kě jiā jiě shuō],可加解说[kě jiā jiě shuō]
prirespondi;respon.pri0i.responsi;可說明[kě shuō míng],可说明[kě shuō míng]
responduma;;負有會計責任[fù yǒu kuài jì zé rèn],负有会计责任[fù yǒu kuài jì zé rèn]
responduma;;应负责[yìng fù zé],應負責[yìng fù zé]
responduma;;有責任[yǒu zé rèn],有责任[yǒu zé rèn]
responsa;respons.0a;主管[zhǔ guǎn]
responsa;respons.0a;职责[zhí zé],職責[zhí zé]
responsa;respons.0a;有責任[yǒu zé rèn],有责任[yǒu zé rèn]
responsa;respons.0a;主掌[zhǔ zhǎng]
responsa;respons.0a;可加解說[kě jiā jiě shuō],可加解说[kě jiā jiě shuō]
responsa;respons.0a;可說明[kě shuō míng],可说明[kě shuō míng]
responsa;respons.0a;說明原因[shuō míng yuán yīn],说明原因[shuō míng yuán yīn]
responsi;respons.0i;負有[fù yǒu],负有[fù yǒu]
responsi;respons.0i;职责[zhí zé],職責[zhí zé]
responsi;respons.0i;說明原因[shuō míng yuán yīn],说明原因[shuō míng yuán yīn]
responsi;respons.0i;負責任[fù zé rèn],负责任[fù zé rèn]
responsi;respons.0i;負責[fù zé],负责[fù zé]
responsi;respons.0i;可加解說[kě jiā jiě shuō],可加解说[kě jiā jiě shuō]
responsi;respons.0i;可說明[kě shuō míng],可说明[kě shuō míng]
responso;respons.0o;职责[zhí zé],職責[zhí zé]
responso;respons.0o;責任[zé rèn],责任[zé rèn]
responso;respons.0o;干係[gān xì],干系[gān xì]
responso;respons.0o;荷[hè]
responsulo;respons.0ulo;主管[zhǔ guǎn]
responsulo;respons.0ulo;負責人[fù zé rén],负责人[fù zé rén]
respublikano;respub.0ano;共和党[gòng hé dǎng],共和黨[gòng hé dǎng]
respublikano;respub.0ano;共和党人[gòng hé dǎng rén],共和黨人[gòng hé dǎng rén]
respubliko;respub.0o;共和[gòng hé]
respubliko;respub.0o;共和国[gòng hé guó],共和國[gòng hé guó]
respubliko;respub.0o;共和制[gòng hé zhì]
respubliko;respub.0o.partiano;共和[gòng hé]
respubliko;respub.0o.partiano;共和国[gòng hé guó],共和國[gòng hé guó]
restadejo;rest.0adejo;停留[tíng liú]
restadejo;rest.0adejo;住处[zhù chù],住處[zhù chù]
restadejo;rest.0adejo;停留的场所[tíng liú de chǎng suǒ],停留的場所[tíng liú de chǎng suǒ]
restadejo;rest.0adejo;等待的某处[děng dài de mǒu chù],等待的某處[děng dài de mǒu chù]
restadejo;rest.0adejo;逗留的地方[dòu liú de dì fang]
restadejo;rest.0adejo;家居[jiā jū]
restadejo;rest.0adejo;居所[jū suǒ]
restadejo;rest.0adejo;下落[xià luò]
restadejo;rest.0adejo;住宅[zhù zhái]
restadejo;rest.0adejo;去处[qù chù],去處[qù chù]
restadejo;rest.0adejo;所在之处[suǒ zài zhī chù],所在之處[suǒ zài zhī chù]
restadi;rest.0adi;逗留[dòu liú]
restadi;rest.0adi;停留[tíng liú]
restadi;rest.0adi;滞留[zhì liú],滯留[zhì liú]
restado;rest.0ado;停留[tíng liú]
restado;rest.0ado;停留期間[tíng liú qī jiān],停留期间[tíng liú qī jiān]
restado;rest.0ado;居住地[jū zhù de]
restado;rest.0ado;延緩[yán huǎn],延缓[yán huǎn]
restaĵo;rest.0ajxo;剩余[shèng yú],剩餘[shèng yú]
restaĵo;rest.0ajxo;余数[yú shù],餘數[yú shù]
restaĵo;rest.0ajxo;剩余物[shèng yú wù],剩餘物[shèng yú wù]
resti;rest.0i;待[dāi]
resti;rest.0i;借宿[jiè sù]
resti;rest.0i;停留[tíng liú]
resti;rest.0i;剩[shèng]
resti;rest.0i;剩下[shèng xià]
resti;rest.0i;呆[dāi]
resti;rest.0i;残留[cán liú],殘留[cán liú]
resti;rest.0i;呆在[dāi zài],獃在[dāi zài]
resti;rest.0i;留下[liú xià]
resti;rest.0i;逗留[dòu liú]
restigi;rest.0igi;丟[diū],丢[diū]
restigi;rest.0igi;遗[yí],遺[yí]
resto;rest.0o;剩余[shèng yú],剩餘[shèng yú]
resto;rest.0o;余数[yú shù],餘數[yú shù]
resto;rest.0o;剩余物[shèng yú wù],剩餘物[shèng yú wù]
resto;rest.0o;底子[dǐ zi]
resto;rest.0o;余剩[yú shèng],餘剩[yú shèng]
resto;rest.0o;残骸[cán hái],殘骸[cán hái]
postresti;rest.post0i.maldevanci;落后[luò hòu],落後[luò hòu]
postresti;rest.post0i.maldevanci;落伍[luò wǔ]
postresti;rest.post0i.maldevanci;残留[cán liú],殘留[cán liú]
postresti;rest.post0i.maldevanci;滞后[zhì hòu],滯後[zhì hòu]
postresti;rest.post0i.maldevanci;遗留下来[yí liú xia lai],遺留下來[yí liú xia lai]
restaŭri;restauxr.0i;修复[xiū fù],修復[xiū fù]
restaŭri;restauxr.0i;恢复[huī fù],恢復[huī fù]
restaŭri;restauxr.0i;整修[zhěng xiū]
restrikti;restrikt.0i;制約[zhì yuē],制约[zhì yuē]
restrikti;restrikt.0i;抑止[yì zhǐ]
restrikti;restrikt.0i;限制[xiàn zhì]
resume;resum.0e;綜上所述[zōng shàng suǒ shù],综上所述[zōng shàng suǒ shù]
resume;resum.0e;总括起来说[zǒng kuò qǐ lai shuō],總括起來說[zǒng kuò qǐ lai shuō]
resume;resum.0e;总而言之[zǒng ér yán zhī],總而言之[zǒng ér yán zhī]
resumi;resum.0i;綜上所述[zōng shàng suǒ shù],综上所述[zōng shàng suǒ shù]
resumi;resum.0i;归结[guī jié],歸結[guī jié]
resumi;resum.0i;概括[gài kuò]
resumi;resum.0i;綜述[zōng shù],综述[zōng shù]
resumi;resum.0i;綜合[zōng hé],综合[zōng hé]
resumi;resum.0i;綜[zōng],综[zōng]
resumi;resum.0i;总结[zǒng jié],總結[zǒng jié]
resumo;resum.0o;总结[zǒng jié],總結[zǒng jié]
resumo;resum.0o;摘要[zhāi yào]
resumo;resum.0o;提要[tí yào]
resumo;resum.0o;紀要[jì yào],纪要[jì yào]
resurekti;resurekt.0i;起死回生[qǐ sǐ huí shēng]
resurekti;resurekt.0i;苏生[sū shēng],蘇生[sū shēng]
risurco;resurs.0o;土地資源[tǔ dì zī yuán],土地资源[tǔ dì zī yuán]
risurco;resurs.0o;矿产资源[kuàng chǎn zī yuán],礦產資源[kuàng chǎn zī yuán]
risurco;resurs.0o;資[zī],资[zī]
risurco;resurs.0o;資源[zī yuán],资源[zī yuán]
risurco;resurs.0o;自然資源[zì rán zī yuán],自然资源[zì rán zī yuán]
risurco;resurs.0o;財力[cái lì],财力[cái lì]
risurco;resurs.0o;矿藏[kuàng cáng],礦藏[kuàng cáng]
retano;ret.0ano.KOMP;網民[wǎng mín],网民[wǎng mín]
retejestro;ret.0ejestro;網管[wǎng guǎn],网管[wǎng guǎn]
retejestro;ret.0ejestro;版主[bǎn zhǔ]
retejestro;ret.0ejestro;網站管理員[wǎng zhàn guǎn lǐ yuán],网站管理员[wǎng zhàn guǎn lǐ yuán]
retejo;ret.0ejo;網址[wǎng zhǐ],网址[wǎng zhǐ]
retejo;ret.0ejo;網頁[wǎng yè],网页[wǎng yè]
retejo;ret.0ejo;網站[wǎng zhàn],网站[wǎng zhàn]
retejo;ret.0ejo;站点[zhàn diǎn],站點[zhàn diǎn]
retkamerao;ret.0kamerao.KOMP;摄像头[shè xiàng tóu],攝像頭[shè xiàng tóu]
retkamerao;ret.0kamerao.KOMP;網絡攝像頭[wǎng luò shè xiàng tóu],网络摄像头[wǎng luò shè xiàng tóu]
retkamerao;ret.0kamerao.KOMP;網絡照相機[wǎng luò zhào xiāng jī],网络照相机[wǎng luò zhào xiāng jī]
retkamerao;ret.0kamerao.KOMP;視訊[shì xùn],视讯[shì xùn]
retkamerao;ret.0kamerao.KOMP;电脑照相机[diàn nǎo zhào xiāng jī],電腦照相機[diàn nǎo zhào xiāng jī]
retkomerco;ret.0komerco;电子商务[diàn zǐ shāng wù],電子商務[diàn zǐ shāng wù]
retkomerco;;电商[diàn shāng],電商[diàn shāng]
reto;ret.0o;網際[wǎng jì],网际[wǎng jì]
reto;ret.0o;罗网[luó wǎng],羅網[luó wǎng]
reto;ret.0o;網狀物[wǎng zhuàng wù],网状物[wǎng zhuàng wù]
reto;ret.0o;網[wǎng],网[wǎng]
reto;ret.0o;互联网络[hù lián wǎng luò],互聯網絡[hù lián wǎng luò]
reto;ret.0o;網絡[wǎng luò],网络[wǎng luò]
reto;ret.0o;广播网[guǎng bō wǎng],廣播網[guǎng bō wǎng]
reto;ret.0o;網路服務[wǎng lù fú wù],网路服务[wǎng lù fú wù]
reto;ret.0o;电网[diàn wǎng],電網[diàn wǎng]
retpoŝto;ret.0posxto;电子邮件[diàn zǐ yóu jiàn],電子郵件[diàn zǐ yóu jiàn]
retpoŝto;ret.0posxto;电邮[diàn yóu],電郵[diàn yóu]
retpoŝto;ret.0posxto;邮件[yóu jiàn],郵件[yóu jiàn]
retumanto;ret.0umanto;因特網用戶[yīn tè wǎng yòng hù],因特网用户[yīn tè wǎng yòng hù]
retumano;;網蟲[wǎng chóng],网虫[wǎng chóng]
retumi;ret.0umi;上網[shàng wǎng],上网[shàng wǎng]
retumi;ret.0umi;網上[wǎng shàng],网上[wǎng shàng]
retumilo;ret.0umilo;浏览器[liú lǎn qì],瀏覽器[liú lǎn qì]
retumilo;ret.0umilo;網絡瀏覽器[wǎng luò liú lǎn qì],网络浏览器[wǎng luò liú lǎn qì]
retumilo;ret.0umilo;浏览者[liú lǎn zhě],瀏覽者[liú lǎn zhě]
retumilo;ret.0umilo;網頁瀏覽器[wǎng yè liú lǎn qì],网页浏览器[wǎng yè liú lǎn qì]
Interreto;ret.Inter0o.KOMP;網際[wǎng jì],网际[wǎng jì]
